Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
9376-W,LD-CUT-003,Status Mini Step Fan Regulator - W,MODULAR,STATUS,9929,1262036.27,31-10-2025,Slow-Moving,85
1621-W,IN_TRANSIT,Gold 3 Pin Socket 6A - W,NON-MODULAR,GOLD,90002,1261934.32,13-11-2025,Slow-Moving,72
2406-MW,IN_TRANSIT,Deluxe Surface D.P. 32A - MW,NON-MODULAR,GOLD,20575,1227198.8,13-11-2025,Slow-Moving,72
PWD-152,LF-HAR-E57,PC Process Gun Grey,PC,,8100,1174500.0,06-10-2025,Slow-Moving,110
9386-W,IN_TRANSIT,Status 1 Way Switch 16AX - W,MODULAR,STATUS,37315,1159119.24,13-11-2025,Slow-Moving,72
MCB-24640,LF-DEL-01,SFG Assure RCCB DP 40A 30mA,MCB,,2780,1146241.5,12-11-2025,Slow-Moving,73
22041-G,LF-HAR-E57,,MODULAR,STATUS - GREY ACC,11838,1108823.1,12-11-2025,Slow-Moving,73
FG-25763,LF-DEL-01,FG  -  Assure Main Switch DP 63A/240V,FG,,943,1108384.0,12-11-2025,Slow-Moving,73
B-116,LF-HAR-E57,3pin soc brass part with SS Screw (1.080 kg),BRASS,,1154,1101751.72,13-11-2025,Slow-Moving,72
9251-W,LD-RAI-022,,MODULAR,STATUS,108760,1074092.06,10-11-2025,Slow-Moving,75
9601-W,LD-MEE-019,Status Flat 1 Way Switch 6AX - W,MODULAR,STATUS,61668,1069604.49,12-11-2025,Slow-Moving,73
B-116,LF-AND-28,3pin soc brass part with SS Screw (1.080 kg),BRASS,,1210,1062000.0,13-11-2025,Slow-Moving,72
9236-MW,IN_TRANSIT,Wawa Combine 6/16A with Box - MW,NON-MODULAR,WAWA,16600,1020835.39,13-11-2025,Slow-Moving,72
B-006,LF-HAR-E57,,BRASS,,1026,1000000.0,31-10-2025,Slow-Moving,85
5340-W,LF-DEL-01,TripRite R.C.C.B 40A D.P.  (100mA) - W,MCB,TRIPRITE MCB,390,991042.0,01-09-2025,Slow-Moving,145
25763-W,LF-DEL-01,Assure Main Switch 63A/240V DP - W,MCB,ASSURE MCB,1000,984205.29,06-10-2025,Slow-Moving,110
MLWM-9236-B-MW,LF-SIL-017,Gold / Wawa 3x1 Junction Box - With Material - Milky White,MOULDING WITH MTRL,,42050,979842.9199999999,12-11-2025,Slow-Moving,73
PWD-185,LF-HAR-E57,,PC,,3654,960000.0,10-11-2025,Slow-Moving,75
22001-G,LF-HAR-E57,,MODULAR,STATUS,94420,953703.5,12-11-2025,Slow-Moving,73
9376-W,LD-RAI-022,Status Mini Step Fan Regulator - W,MODULAR,STATUS,9000,948188.38,31-10-2025,Slow-Moving,85
10712-W,IN_TRANSIT,Axis 12M Plate - W,MODULAR,STATUS,11978,936924.1,12-11-2025,Slow-Moving,73
22006-G,LF-HAR-E57,Status Flat 2 Way Switch 6AX (Grey) - G,MODULAR,STATUS - GREY ACC,14200,926017.6,06-10-2025,Slow-Moving,110
