Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
10708-G,IN_TRANSIT,Axis 8HM Plate - G,MODULAR,STATUS,3509,248954.81,12-11-2025,Slow-Moving,73
10110-W,IN_TRANSIT,Status MCB 10A SP - W,MODULAR,STATUS,3849,248737.91,13-11-2025,Slow-Moving,72
3356-W,LD-KOL-015,,SUPPORTED,VALUE,35,248627.52,24-10-2025,Slow-Moving,92
14266-W,LW-GHA-59,Platinum Deep 1 Way Switch 20A - W,MODULAR,PLATINUM,3680,248321.58,15-10-2025,Slow-Moving,101
SC-050,LF-HAR-E57,Mod Pkg Screw 3.5x30 With Washer,SCREW,,6204,248000.0,31-10-2025,Slow-Moving,85
9071-MW,IN_TRANSIT,Wawa Mini Step Fan Regulator - MW,NON-MODULAR,WAWA,3633,247780.59,13-11-2025,Slow-Moving,72
1986-W,LF-AND-28,,SUPPORTED,VALUE,12394,247756.06,12-11-2025,Slow-Moving,73
PWD-064,PRE-1539,Wawa Urea (2507),UREA,,2020,247537.87,11-11-2025,Slow-Moving,74
9146-MW,IN_TRANSIT,Wawa Universal Socket 6/16A - MW,NON-MODULAR,WAWA,7613,247147.37,13-11-2025,Slow-Moving,72
SFG-1206-W,LF-VAS-006,,SFG,,535,245765.6,04-11-2025,Slow-Moving,81
14612-W,LF-HAR-E57,Platinum 12M Plate - W,MODULAR,PLATINUM,200,245208.6,12-11-2025,Slow-Moving,73
5250-BL,IN_TRANSIT,Trisafe+ Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BL,WIRE,TRISAFE+,183,244004.05,11-11-2025,Slow-Moving,74
19091-G,IN_TRANSIT,Estella Blue Led Indicator (Grey) - G,MODULAR,ESTELLA,6844,243219.38,13-11-2025,Slow-Moving,72
2571-W,IN_TRANSIT,Energy Meter 5 - 30a Lcd Display - W,SUPPORTED,ALLIED,1039,242474.44999999998,11-11-2025,Slow-Moving,74
5100-BK,LD-RAI-022,,WIRE,TRISAFE+,216,242052.0,31-10-2025,Slow-Moving,85
10110-W,LF-HAR-E57,,MODULAR,STATUS,2440,241230.0,12-11-2025,Slow-Moving,73
3110-W,IN_TRANSIT,TripRite C - MCB 10A SP - W,MCB,TRIPRITE MCB,5730,240760.79,11-11-2025,Slow-Moving,74
11103-W,LF-HAR-E57,,MODULAR,STATUS,14440,240612.3,12-11-2025,Slow-Moving,73
10712-W,LD-LUC-017,Axis 12M Plate - W,MODULAR,STATUS,1115,240419.61,25-09-2025,Slow-Moving,121
2501-MW,LF-HAR-E57,,SUPPORTED,VALUE,21160,240408.0,12-11-2025,Slow-Moving,73
26200-W,LF-DEL-01,Assure MCCB 200A TP - W,MCB,ASSURE MCB,72,240248.11,01-09-2025,Slow-Moving,145
1061-W,IN_TRANSIT,,NON-MODULAR,GOLD,40000,240074.13,13-11-2025,Slow-Moving,72
B-071,LF-HAR-E57,,BRASS,,390,240000.0,07-11-2025,Slow-Moving,78
9376-W,LD-LUC-017,Status Mini Step Fan Regulator - W,MODULAR,STATUS,1854,239969.16999999998,18-10-2025,Slow-Moving,98
1991-W,LF-AND-28,,SUPPORTED,VALUE,14802,239792.4,12-11-2025,Slow-Moving,73
18081-W,IN_TRANSIT,Estella Mini Step Fan Regulator - W,MODULAR,ESTELLA,2239,237503.67,13-11-2025,Slow-Moving,72
16420-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,1080,237396.83,12-11-2025,Slow-Moving,73
9376-W,LD-MEE-019,,MODULAR,STATUS,1395,236800.27,12-11-2025,Slow-Moving,73
5150-BL,LD-RAI-022,Trisafe+ Wires 1.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BL,WIRE,TRISAFE+,161,236420.88,31-10-2025,Slow-Moving,85
21110-W,LF-HAR-E57,Teron MCB 10A SP - W,MODULAR,TERON,3890,236365.33,06-10-2025,Slow-Moving,110
17619-CL,LD-ZIR-028,Skylight 9W LED Lunar Emergency Bulb - CL,LIGHTING,SKYLIGHT LED,1239,235909.08000000002,14-11-2025,Slow-Moving,71
C-015,LF-SIL-017,Wawa 16A Dolly,CUTTING,,435,235708.31,12-11-2025,Slow-Moving,73
1986-MW,LD-BAN-002,Deluxe Plug Top 6A - MW,SUPPORTED,VALUE,5440,235639.98,13-11-2025,Slow-Moving,72
SFG-9366-HAR-W,LF-HAR-E57,SFG - Status Mini Dimmer - HAR,SFG,,23910,235293.96,16-10-2025,Slow-Moving,100
16307-CL,LD-JAI-014,Skylight 7W LED Galaxy Concealed Light - CL,LIGHTING,SKYLIGHT LED,3405,235123.49,12-11-2025,Slow-Moving,73
MLWM-2406-K,LF-SIL-017,Deluxe Surf DP Knob (PC)  -  With Material,MOULDING WITH MTRL,,64000,234000.0,26-10-2025,Slow-Moving,90
1991-W,IN_TRANSIT,Deluxe Plug Top 16A - W,SUPPORTED,VALUE,14409,233581.4,12-11-2025,Slow-Moving,73
B-103,LF-SIL-017,Copper Contact 16A (Gold)(0.236 kg),BRASS,,233,233503.13,28-10-2025,Slow-Moving,88
9376-W,LD-ROH-024,Status Mini Step Fan Regulator - W,MODULAR,STATUS,1077,233445.0,14-11-2025,Slow-Moving,71
MIX-417,LF-HAR-E57,Kurz Foil Mini Size 50 / 61 / 67 / 70 / 110 mm ,MIX,,110,233425.14,31-10-2025,Slow-Moving,85
2796-W,LF-PAL-A03,Jumbo 3 Pin Flex Box 6/16A 4mtr - W,SUPPORTED,VALUE,62,233329.09,07-10-2025,Slow-Moving,109
17606-CLPGB,IN_TRANSIT,,LIGHTING,SKYLIGHT LED,1710,233283.89,12-11-2025,Slow-Moving,73
PWD-113,LF-VAS-006,MasterBatch Smoke PC (1%),PC,,500,232500.0,01-09-2025,Slow-Moving,145
22016-G,LD-PAT-021,Status Flat 1 Way Switch 16AX (Grey) - G,MODULAR,STATUS - GREY ACC,4279,232479.78999999998,05-09-2025,Slow-Moving,141
14066-W,IN_TRANSIT,Platinum Universal Socket 6/16A with Shutter - W,MODULAR,PLATINUM,3718,232126.72,13-11-2025,Slow-Moving,72
10401-W,LF-HAR-E57,Flow 1way Switch 16A - W,MODULAR,STATUS,6300,232067.2,06-10-2025,Slow-Moving,110
9316-W,LD-PAT-021,,MODULAR,STATUS,9390,231984.72,03-11-2025,Slow-Moving,82
9316-W,LD-ROH-024,Status 3 Pin Socket 6A - W,MODULAR,STATUS,6991,231984.72,15-10-2025,Slow-Moving,101
9386-W,LD-PAT-021,Status 1 Way Switch 16AX - W,MODULAR,STATUS,6360,230878.65999999997,24-10-2025,Slow-Moving,92
C-071,LF-HAR-E57,Eco/Deluxe Dp Cutting Parts,CUTTING,,18720,230817.6,06-10-2025,Slow-Moving,110
18001-W,IN_TRANSIT,Estella 1 Way Switch 10AX - W,MODULAR,ESTELLA,18282,230534.44999999998,13-11-2025,Slow-Moving,72
4346-MW,LD-MEE-019,Lite Combine 6/16A with Box & Ind. - MW,NON-MODULAR,GOLD,645,230459.54,07-11-2025,Slow-Moving,78
2856-W,IN_TRANSIT,Mars Ding Dong Bell - W,SUPPORTED,VALUE,3835,229251.38,13-11-2025,Slow-Moving,72
16307-WL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,2280,228106.35,12-11-2025,Slow-Moving,73
1686-W,LD-CUT-003,,NON-MODULAR,GOLD,6000,227697.61000000002,11-11-2025,Slow-Moving,74
9386-W,LD-MEE-019,Status 1 Way Switch 16AX - W,MODULAR,STATUS,4496,227446.97,03-11-2025,Slow-Moving,82
5250-BK,LD-ROH-024,Trisafe+ Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BK,WIRE,TRISAFE+,110,227228.4,28-10-2025,Slow-Moving,88
7250-Y,IN_TRANSIT,ECO - FR Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - Y,WIRE,ECO-FR,140,226931.81,08-11-2025,Slow-Moving,77
4663-W,LD-LUC-017,,MCB,TRIPRITE MCB,631,226597.59999999998,13-11-2025,Slow-Moving,72
1117-W,LF-HAR-E57,Conwood 6.5*10.5 - W,NON-MODULAR,CONWOOD,2250,226590.0,12-11-2025,Slow-Moving,73
B-018,LF-HAR-E57,,BRASS,,265,226240.0,29-10-2025,Slow-Moving,87
PWD-061,MIR-622,Gold Urea (2215) for 6A,UREA,,1311,225698.85,06-11-2025,Slow-Moving,79
B-038,LF-SIL-017,Flush/Deluxe DP Knur (0.11 kg),BRASS,,1756,225600.0,11-11-2025,Slow-Moving,74
9601-W,LD-JAI-014,Status Flat 1 Way Switch 6AX - W,MODULAR,STATUS,19779,225196.62,11-11-2025,Slow-Moving,74
SFG-10116-HAR-W,LF-HAR-E57,SFG - Status MCB 16A SP - HAR,SFG,,18828,225131.94,31-10-2025,Slow-Moving,85
9366-W,LD-LUC-017,Status Mini Dimmer - W,MODULAR,STATUS,1111,224820.45,20-09-2025,Slow-Moving,126
3196-MW,IN_TRANSIT,Gold Mini Dimmer - MW,NON-MODULAR,GOLD,3990,224585.73,13-11-2025,Slow-Moving,72
10312-W,LD-MEE-019,,MODULAR,STATUS,1763,224471.71,31-10-2025,Slow-Moving,85
5663-W,LF-DEL-01,Triprite R.C.C.B. 63A F.p. (100mA) - W,MCB,TRIPRITE MCB,242,224271.08000000002,06-10-2025,Slow-Moving,110
9566-W,LF-HAR-E57,Status Edge Mini Dimmer - W,MODULAR,STATUS,2960,224249.6,06-10-2025,Slow-Moving,110
9386-W,LD-LUC-017,Status 1 Way Switch 16AX - W,MODULAR,STATUS,7209,224035.52000000002,11-11-2025,Slow-Moving,74
MCB-24725,LF-DEL-01,,MCB,,692,223516.0,12-11-2025,Slow-Moving,73
B-011,LF-AND-28,Eco/Deluxe Dp Ball Roller (0.153 kg),BRASS,,1235,223502.83000000002,12-11-2025,Slow-Moving,73
18066-W,IN_TRANSIT,Estella Universal Socket 6/16A with Shutter - W,MODULAR,ESTELLA,3865,222991.22,13-11-2025,Slow-Moving,72
MCB-22232,LF-HAR-E57,SFG  -  Tiny MCB C - 32A DP (Grey),MCB,,2442,222382.5,29-09-2025,Slow-Moving,117
5240-W,IN_TRANSIT,TripRite R.C.C.B 40A D.P. (30mA) - W,MCB,TRIPRITE MCB,570,221901.45,11-11-2025,Slow-Moving,74
9381-W,LF-AND-28,,MODULAR,STATUS,1951,221418.99,12-11-2025,Slow-Moving,73
PWD-064,LF-SIL-017,Wawa Urea (2507),UREA,,1014,220611.46000000002,12-11-2025,Slow-Moving,73
MCB-210,LF-DEL-01,Copper Wire (17 No. -  16A)  -  Common,MCB,,104,220122.03,12-11-2025,Slow-Moving,73
16409-CLPGB,LW-BHI-58,Skylight 8+8W LED Galaxy Double Colour Concealed Light - CLPGB,LIGHTING,SKYLIGHT LED,2268,219512.1,16-10-2025,Slow-Moving,100
9616-W,LD-MEE-019,Status Flat 1 Way Switch 16AX - W,MODULAR,STATUS,4460,219255.26,07-11-2025,Slow-Moving,78
14071-W,IN_TRANSIT,Platinum Universal Socket 6/16A - W,MODULAR,PLATINUM,4354,218516.80000000002,13-11-2025,Slow-Moving,72
SFG-1202-W,LF-VAS-006,,SFG,,400,217954.48,10-11-2025,Slow-Moving,75
3132-W,LF-DEL-01,,MCB,TRIPRITE MCB,4452,217857.48,12-11-2025,Slow-Moving,73
9616-W,LD-GWA-010,Status Flat 1 Way Switch 16AX - W,MODULAR,STATUS,3025,217761.15000000002,31-10-2025,Slow-Moving,85
9616-W,LD-CUT-003,,MODULAR,STATUS,6000,217440.59999999998,31-10-2025,Slow-Moving,85
5250-BL,LF-HAR-E57,,WIRE,TRISAFE+,173,217049.9,12-11-2025,Slow-Moving,73
PWD-167,LF-HAR-E57,PC Grinding Wine / Gun Grey / Smoke In - House,PC,,1682,216482.56,06-10-2025,Slow-Moving,110
21501-W,LF-HAR-E57,Broad 1 Way Switch 6A - W,MODULAR,TERON,6160,214612.2,06-10-2025,Slow-Moving,110
5591-W,LF-DEL-01,Triprite R.C.C.B. 25A F.p. (100mA) - W,MCB,TRIPRITE MCB,48,213976.88,01-09-2025,Slow-Moving,145
C-129,LF-HAR-E57,"D Type 16A 2w Zula with Notch (0.70mm Brass, with Copper Plating) with Bimetal Rivet 0.4mm Silver",CUTTING,,250,213802.1,06-10-2025,Slow-Moving,110
17619-CL,LD-BAN-002,Skylight 9W LED Lunar Emergency Bulb - CL,LIGHTING,SKYLIGHT LED,1050,213690.0,24-09-2025,Slow-Moving,122
9251-W,LD-MEE-019,,MODULAR,STATUS,15465,213234.74,07-11-2025,Slow-Moving,78
1986-W,LD-CUT-003,,SUPPORTED,VALUE,9599,212926.95,05-11-2025,Slow-Moving,80
9251-W,LD-JAI-014,Status 1 Way Switch 6AX - W,MODULAR,STATUS,15345,212258.63999999998,04-11-2025,Slow-Moving,81
17619-CL,IN_TRANSIT,Skylight 9W LED Lunar Emergency Bulb - CL,LIGHTING,SKYLIGHT LED,1616,212007.31,11-11-2025,Slow-Moving,74
9251-W,LD-ZIR-028,,MODULAR,STATUS,17760,211575.37,12-11-2025,Slow-Moving,73
9251-W,LD-PAT-021,,MODULAR,STATUS,16199,211575.36,25-10-2025,Slow-Moving,91
6612-W,LD-PAT-021,Metal Concealed Box 12M - W,MODULAR,MODULAR BOXES,3060,211030.57,11-11-2025,Slow-Moving,74
PWD-103,PRE-1539,Gold Urea (2567) for 16A,UREA,,769,210636.05,10-11-2025,Slow-Moving,75
3031-W,IN_TRANSIT,Orbit  -  Multi Religious - W,SUPPORTED,VALUE,1801,210400.56999999998,13-11-2025,Slow-Moving,72
18016-W,LF-HAR-G1,Estella 1 Way Switch 20A with Ind. - W,MODULAR,ESTELLA,4714,210281.64,04-11-2025,Slow-Moving,81
9616-W,LD-DHA-007,,MODULAR,STATUS,5009,210192.58,12-11-2025,Slow-Moving,73
21016-W,LF-HAR-E57,Teron 1 Way Switch 16A - W,MODULAR,TERON,8256,210165.16,12-11-2025,Slow-Moving,73
10712-G,LD-MEE-019,,MODULAR,STATUS,2391,209791.40000000002,04-11-2025,Slow-Moving,81
PO-006,LF-HAR-E57,16A Square Soc Porc (With Glaze),PORCELAIN,,753,209430.97,25-10-2025,Slow-Moving,91
PWD-187,LF-VAS-006,,PC,,4135,209425.05,28-10-2025,Slow-Moving,88
SFG-1686-HAR-MW,LF-HAR-E57,SFG - Gold Universal Socket 6/16A,SFG,,17903,209342.52,06-10-2025,Slow-Moving,110
10703-W,IN_TRANSIT,Axis 3M Plate - W,MODULAR,STATUS,5952,209279.28,12-11-2025,Slow-Moving,73
9506-W,LD-JAI-014,Status Universal Socket 6/16A - W,MODULAR,STATUS,3623,209276.79,11-11-2025,Slow-Moving,74
1491-MW,IN_TRANSIT,Gold 1 Way Switch 16A - MW,NON-MODULAR,GOLD,5538,208967.05000000002,13-11-2025,Slow-Moving,72
9316-W,LD-ZIR-028,,MODULAR,STATUS,8950,208786.25,12-11-2025,Slow-Moving,73
19508-G,IN_TRANSIT,Estella 8HM Pure Colour Plate - G,MODULAR,ESTELLA,2188,208695.83000000002,13-11-2025,Slow-Moving,72
16205-CL,IN_TRANSIT,Skylight 5W LED Galaxy Concealed Light - CL,LIGHTING,SKYLIGHT LED,6071,207242.72,13-11-2025,Slow-Moving,72
18001-W,LD-PAT-021,,MODULAR,ESTELLA,7663,207079.46000000002,11-11-2025,Slow-Moving,74
MCB-274,LF-DEL-01,Coil Patti / L Patti For Assure Mcb,MCB,,52690,206482.5,13-11-2025,Slow-Moving,72
B-006,UTT-0121,Uni 8x9 (16A Soc) With SS Scre,BRASS,,220,206355.6,08-11-2025,Slow-Moving,77
9541-W,LF-HAR-E57,Status LED Foot Lamp - W,MODULAR,STATUS,2410,205934.5,06-10-2025,Slow-Moving,110
B-011,LF-SIL-017,Eco/Deluxe Dp Ball Roller (0.153 kg),BRASS,,1400,205610.46,11-11-2025,Slow-Moving,74
25001-W,LF-DEL-01,Assure ACCL 30A/1.5A SPN  - W,MCB,ASSURE MCB,6,204980.63,01-09-2025,Slow-Moving,145
9416-W,LF-HAR-E57,,MODULAR,STATUS,4430,204828.4,12-11-2025,Slow-Moving,73
6806-W,IN_TRANSIT,Modular Gang Box 6M - W,MODULAR,MODULAR BOXES,4021,204748.86,13-11-2025,Slow-Moving,72
MLWM-1966-S,LF-SIL-017,Sonic 6A Plug Top & Bottom Set  -  With Material,MOULDING WITH MTRL,,60480,204422.4,12-11-2025,Slow-Moving,73
D-C-9366,LF-HAR-E57,,DIMMER,,6000,204000.0,13-11-2025,Slow-Moving,72
D-C-9376,DKS-1562,Status 4 Step Regulator Circui,DIMMER,,4000,204000.0,08-11-2025,Slow-Moving,77
7250-R,IN_TRANSIT,,WIRE,ECO-FR,152,203987.09,08-11-2025,Slow-Moving,77
7250-BK,IN_TRANSIT,,WIRE,ECO-FR,152,203987.06,08-11-2025,Slow-Moving,77
5100-BK,IN_TRANSIT,,WIRE,TRISAFE+,256,203705.80000000002,11-11-2025,Slow-Moving,74
10706-W,LD-LUC-017,,MODULAR,STATUS,3463,203650.08,30-10-2025,Slow-Moving,86
18081-W,LD-PAT-021,Estella Mini Step Fan Regulator - W,MODULAR,ESTELLA,1383,203196.65,18-10-2025,Slow-Moving,98
18056-W,LF-VAS-006,Estella Socket 6A - W,MODULAR,ESTELLA,10150,203000.0,01-09-2025,Slow-Moving,145
PWD-185,SGI-0520,Status PC (EPC DPONATE 2000U :,PC,,716,202979.64,13-11-2025,Slow-Moving,72
5400-BK,IN_TRANSIT,Trisafe+ Wires 4.00 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BK,WIRE,TRISAFE+,72,202648.36,11-11-2025,Slow-Moving,74
19076-G,LD-PAT-021,Estella Universal Socket 6/16A (Grey) - G,MODULAR,ESTELLA,2560,202343.2,14-10-2025,Slow-Moving,102
MLWM-1061-B-W-SIL,LF-SIL-017,Super 1 way Switch Base SIL,MOULDING WITH MTRL,,211282,201961.76,31-10-2025,Slow-Moving,85
PK-O-23106,LF-DEL-01,Assure MCB Common Outer,PACKAGING,,10800,201855.6,01-09-2025,Slow-Moving,145
D-C-9376,GEM-1444,Status 4 Step Regulator Circui,DIMMER,,5600,201250.0,08-11-2025,Slow-Moving,77
16415-CL,LD-RAI-022,,LIGHTING,SKYLIGHT LED,782,201099.15,31-10-2025,Slow-Moving,85
2641-W,LF-PAL-A03,Colour 4*4 Power Strip 1.5mtr 6A - W,SUPPORTED,VALUE,315,200877.46,12-11-2025,Slow-Moving,73
6706-W,IN_TRANSIT,Plastic Surface Box 6M - W,MODULAR,MODULAR BOXES,6151,200347.33,13-11-2025,Slow-Moving,72
CLPL-14201,LF-HAR-E57,,CLPL,,71500,200200.0,13-11-2025,Slow-Moving,72
PK-239,LF-AND-28,WhatsApp Scratch Coupon 10 points (35*35mm),PACKAGING,,800,200192.0,07-10-2025,Slow-Moving,109
18061-W,LD-PAT-021,Estella 3 Pin Socket 6A - W,MODULAR,ESTELLA,4972,200087.6,11-11-2025,Slow-Moving,74
2406-MW,LD-CSN-001,,NON-MODULAR,GOLD,2302,199748.51,31-10-2025,Slow-Moving,85
2541-MW,IN_TRANSIT,Dome Batten Holder - MW,SUPPORTED,VALUE,13211,199029.03,12-11-2025,Slow-Moving,73
9606-W,LD-CUT-003,,MODULAR,STATUS,5700,198890.46,31-10-2025,Slow-Moving,85
B-101,LF-SIL-017,Copper Contact 6A (Urea) (Gold / Wawa/Slim)(0.07 kg),BRASS,,176,197296.25,28-10-2025,Slow-Moving,88
9856-WL,LF-HAR-G1,Fresh Modular Foot Lamp (3M/4M) - WL,MODULAR,STATUS,1878,197255.46,13-10-2025,Slow-Moving,103
10709-W,IN_TRANSIT,Axis 8SQM Plate - W,MODULAR,STATUS,2311,196938.4,11-11-2025,Slow-Moving,74
2376-MW,LF-AND-28,Tiny Flush D.p. 32A - MW,NON-MODULAR,GOLD,1091,196888.54,12-11-2025,Slow-Moving,73
6706-W,LF-HAR-E57,,MODULAR,MODULAR BOXES,3870,196397.1,12-11-2025,Slow-Moving,73
14071-W,LW-GHA-59,Platinum Universal Socket 6/16A - W,MODULAR,PLATINUM,2900,196148.43,30-09-2025,Slow-Moving,116
23363-W,LF-DEL-01,Assure C - MCB 63A DP - W,MCB,ASSURE MCB,312,195845.76,12-11-2025,Slow-Moving,73
5150-R,LD-RAI-022,,WIRE,TRISAFE+,182,195574.24,31-10-2025,Slow-Moving,85
10706-G,IN_TRANSIT,Axis 6M Plate - G,MODULAR,STATUS,3870,195355.66,13-11-2025,Slow-Moving,72
PWD-192,LF-HAR-E57,PC Gun Grey (PC DPONATE) 1000U-81-0001,PC,,975,195000.0,16-09-2025,Slow-Moving,130
21061-W,LW-BHI-58,Teron Neon Indicator - W,MODULAR,TERON,9930,194976.44,07-10-2025,Slow-Moving,109
24940-W,LF-DEL-01,Assure R.C.C.B. 40A F.P. (100mA) - W,MCB,ASSURE MCB,183,194618.13,01-09-2025,Slow-Moving,145
3196-W,LF-SIL-017,,NON-MODULAR,GOLD,3452,194536.16,12-11-2025,Slow-Moving,73
PK-O-2391,LF-HAR-E57,Ring Holder Outer,PACKAGING,,7475,194216.75,28-10-2025,Slow-Moving,88
PWD-136,LF-PAL-A03,ABS Natural for Vendors,PC,,1213,194080.0,28-10-2025,Slow-Moving,88
PWD-071,LF-HAR-E57,ABS Process Powder,PC,,3712,193868.46,31-10-2025,Slow-Moving,85
22071-G,LD-RAI-022,Status Mini Dimmer (Grey) - G,MODULAR,STATUS - GREY ACC,436,193647.05,24-09-2025,Slow-Moving,122
3261-W,LD-MEE-019,,SUPPORTED,VALUE,617,193636.38999999998,12-11-2025,Slow-Moving,73
10132-W,LD-CUT-003,Status MCB 32A SP - W,MODULAR,STATUS,1620,193412.93,27-10-2025,Slow-Moving,89
PK-178,LF-HAR-E57,Soft Holder Partition,PACKAGING,,5300,193319.34,15-10-2025,Slow-Moving,101
21036-W,LW-BHI-58,Teron 3 Pin Socket 6A - W,MODULAR,TERON,10017,193287.6,07-10-2025,Slow-Moving,109
9426-W,LD-CUT-003,Status Dual D.P. Switch 32A with Ind. - W,MODULAR,STATUS,1820,193275.93,27-10-2025,Slow-Moving,89
FG-25863,LF-DEL-01,,FG,,119,192661.0,12-11-2025,Slow-Moving,73
3356-W,LD-ZIR-028,Galaxy Ding Dong Bell - W,SUPPORTED,VALUE,3241,192487.59,14-11-2025,Slow-Moving,71
2396-MW,LD-LUC-017,Ring Batten Holder - MW,SUPPORTED,VALUE,8195,192367.59999999998,27-10-2025,Slow-Moving,89
PWD-163,LF-VAS-006,Masterbatch PC Baby Blue (2171100027),PC,,266,192107.5,12-11-2025,Slow-Moving,73
B-106,LF-HAR-E57,,BRASS,,1260,192000.0,31-10-2025,Slow-Moving,85
18076-W,IN_TRANSIT,Estella Universal Socket 6/16A - W,MODULAR,ESTELLA,3501,191799.47,13-11-2025,Slow-Moving,72
2356-MW,LD-HUB-029,,NON-MODULAR,GOLD,1438,191096.09,13-11-2025,Slow-Moving,72
7250-BL,IN_TRANSIT,ECO - FR Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BL,WIRE,ECO-FR,142,190566.88,08-11-2025,Slow-Moving,77
PWD-103,STA-636,Gold Urea (2567) for 16A,UREA,,1070,189612.79,27-10-2025,Slow-Moving,89
1991-MW,LD-HUB-029,Deluxe Plug Top 16A - MW,SUPPORTED,VALUE,3265,189522.26,11-11-2025,Slow-Moving,74
17250-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,322,189479.5,10-11-2025,Slow-Moving,75
LED-16450-GR,LF-VAS-006,,LED,,26,189000.0,10-11-2025,Slow-Moving,75
LED-16450-P,LF-VAS-006,,LED,,54,189000.0,10-11-2025,Slow-Moving,75
1210-W,IN_TRANSIT,,MODULAR,STATUS,2830,188891.38999999998,10-11-2025,Slow-Moving,75
3263-W,LF-DEL-01,,MCB,TRIPRITE MCB,929,188799.3,12-11-2025,Slow-Moving,73
25010-W,LF-DEL-01,Assure ACCL 30A/10A SPN  - W,MCB,ASSURE MCB,204,188231.24,01-09-2025,Slow-Moving,145
SFG-3116-DEL-W,LF-DEL-01,,SFG,,24156,188115.14,12-11-2025,Slow-Moving,73
16307-CL,LD-GWA-010,,LIGHTING,SKYLIGHT LED,3855,187909.89,06-11-2025,Slow-Moving,79
16307-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,2400,187909.88,05-11-2025,Slow-Moving,80
3132-W,LD-MEE-019,TripRite C - MCB 32A SP - W,MCB,TRIPRITE MCB,3405,187815.52000000002,07-11-2025,Slow-Moving,78
MCB-10232,IN_TRANSIT,,MCB,,2520,187740.0,12-11-2025,Slow-Moving,73
2161-MW,LF-SIL-017,King Angle Holder - MW,SUPPORTED,VALUE SUPPORTED PRODUCTS,10000,187600.0,06-10-2025,Slow-Moving,110
16408-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,1190,187587.6,06-11-2025,Slow-Moving,79
OTH-093,LF-SIL-017,,OTHER RM,,98729,187410.0,12-11-2025,Slow-Moving,73
24625-W,LF-DEL-01,Assure R.C.C.B. 25A D.P. (30mA) - W,MCB,ASSURE MCB,31,187221.23,06-10-2025,Slow-Moving,110
1956-W,LD-CUT-003,Round Surface Plate 6 inch - W,SUPPORTED,ALLIED,10800,187126.03,03-11-2025,Slow-Moving,82
C-021,LF-AND-28,Super Swt Dolly,CUTTING,,1365,186841.92,12-11-2025,Slow-Moving,73
MCB-211,LF-DEL-01,"Copper Wire (15 No. -  20,25A) Tiny",MCB,,184,186737.66,12-11-2025,Slow-Moving,73
PWD-103,LF-SIL-017,Gold Urea (2567) for 16A,UREA,,101,186683.32,12-11-2025,Slow-Moving,73
PWD-130,LF-VAS-006,MasterBatch Gun Grey PC 217630005 (2%),PC,,400,186000.0,01-09-2025,Slow-Moving,145
2396-MW,LF-HAR-E57,,SUPPORTED,VALUE,580,185627.4,12-11-2025,Slow-Moving,73
C-046,LF-HAR-E57,Luxury Swt Dolly,CUTTING,,710,185260.3,01-09-2025,Slow-Moving,145
21306-W,IN_TRANSIT,Teron 6M Plate - W,MODULAR,TERON,5030,185170.81,10-11-2025,Slow-Moving,75
23232-W,LF-DEL-01,Assure C - MCB 32A SPN - W,MCB,ASSURE MCB,510,184027.08,01-09-2025,Slow-Moving,145
5250-R,LD-ROH-024,Trisafe+ Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - R,WIRE,TRISAFE+,100,183946.8,13-10-2025,Slow-Moving,103
19051-G,IN_TRANSIT,Estella Dual D.P. Switch 32A with Ind. (Grey) - G,MODULAR,ESTELLA,1441,183753.53999999998,13-11-2025,Slow-Moving,72
4346-MW,LD-VIJ-027,,NON-MODULAR,GOLD,2453,183629.11000000002,13-11-2025,Slow-Moving,72
22066-G,LF-HAR-E57,Status Blank Plate (Grey) - G,MODULAR,STATUS - GREY ACC,11095,183389.5,12-11-2025,Slow-Moving,73
16207-CL,LF-HAR-G1,SkyLight 7w Led Concealed Junction Light - CL,LIGHTING,SKYLIGHT LED,1469,183008.02,13-11-2025,Slow-Moving,72
14086-W,IN_TRANSIT,Platinum Medium Step Regulator - W,MODULAR,PLATINUM,1465,182769.95,13-11-2025,Slow-Moving,72
FG-2526,LF-SIL-017,,FG,,4800,182628.0,31-10-2025,Slow-Moving,85
16307-BL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,2357,182581.24,05-11-2025,Slow-Moving,80
10125-W,IN_TRANSIT,Status MCB 25A SP - W,MODULAR,STATUS,2829,182476.4,13-11-2025,Slow-Moving,72
2396-MW,LD-MEE-019,Ring Batten Holder - MW,SUPPORTED,VALUE,3572,182394.96000000002,31-10-2025,Slow-Moving,85
