Vendor,Total_POs,On_Time_POs,Delayed_POs,On_Time %
EKTA INSTRUMENT SERVICE,1.0,1.0,0.0,100.0
ELECTRONICA PLASTIC MACHINES PVT.LTD.,1.0,0.0,1.0,0.0
ELIXIR ENGG & ELECTRICAL INDUSTRIES,2.0,1.0,1.0,50.0
EXCEL TRADERS,1.0,1.0,0.0,100.0
Earth Poly Pack,7.0,7.0,0.0,100.0
Fabrico,2.0,2.0,0.0,100.0
G R INDUSTRIES,19.0,15.0,4.0,78.95
G.KHANNA & CO.,2.0,2.0,0.0,100.0
G.KHANNA and CO.,15.0,13.0,2.0,86.67
GAIN ELECTRONICS,3.0,1.0,2.0,33.33
GAURI DEVI - JW,8.0,5.0,3.0,62.5
GAYATRI,1.0,1.0,0.0,100.0
GEO-BOND ADHESIVES,5.0,2.0,3.0,40.0
GHANSHYAM SINGH,7.0,4.0,3.0,57.14
GIRI ENTERPRISES,11.0,5.0,6.0,45.45
GLOBAL STAR COMPONENTS PRIVATE LIMITED,8.0,3.0,5.0,37.5
Gem Enterprises,17.0,11.0,6.0,64.71
Gyanesh Print And Pack,16.0,11.0,5.0,68.75
HARI OM KIRANA STORE,7.0,0.0,7.0,0.0
HARIA METALS,10.0,4.0,6.0,40.0
HIMALAYA POLYPLAST INDUSTRY,2.0,1.0,1.0,50.0
HITECH SCREWS & RIVETS,6.0,0.0,6.0,0.0
HITECH SCREWS and RIVETS,5.0,1.0,4.0,20.0
Harshali Optoelectronics Private Limited,3.0,2.0,1.0,66.67
INDRA PRAKASHSO SURYA PRAKASH - JW,9.0,4.0,5.0,44.44
INDRAMANI ENTERPRISES,7.0,3.0,4.0,42.86
Ib enterprises,1.0,1.0,0.0,100.0
InnovativeX Solutions,1.0,1.0,0.0,100.0
J & K INDUSTRIES,1.0,1.0,0.0,100.0
J.K.Plast,1.0,0.0,1.0,0.0
J.M.D,4.0,0.0,4.0,0.0
J.N.ELECTRICALS,3.0,2.0,1.0,66.67
JAI AMBE ENTERPRISE,16.0,5.0,11.0,31.25
JAI BHARAT INDUSTRY,12.0,11.0,1.0,91.67
JAI DURGE ENTERPRISE,2.0,2.0,0.0,100.0
