Item_No,Description,Location Code,Stock_Qty,Status
PK-1575,Master Ctn  -  Porc KK 32/240V,LF-SIL-017,11,"< 50,000"
PK-1575,No Description,LF-SIL-017,107,"< 50,000"
PK-1576,Master Ctn  -  Porc KK 32/415V,LF-SIL-017,42,"< 50,000"
PK-1576,No Description,LF-SIL-017,203,"< 50,000"
PK-1577,No Description,LF-SIL-017,101,"< 50,000"
PK-1581,Master Ctn  -  1600 Ctn,LF-AND-28,2,"< 50,000"
PK-1581,No Description,LF-AND-28,100,"< 50,000"
PK-1581,No Description,LF-SIL-017,227,"< 50,000"
PK-1583,Master Ctn  -  2x1 Gold,LF-AND-28,55,"< 50,000"
PK-1583,Master Ctn  -  2x1 Gold,LF-SIL-017,280,"< 50,000"
PK-1583,Master Ctn  -  2x1 Gold (535mm x 450mm x 343mm),LF-AND-28,0,"< 50,000"
PK-1583,No Description,LF-SIL-017,704,"< 50,000"
PK-1584,Master Ctn  -  3x1 Box (Size - 565 X 380 X 425 MM),LF-SIL-017,124,"< 50,000"
PK-1584,Master Ctn  -  3x1 Box (Size - 565 X 380 X 452 MM),LF-AND-28,108,"< 50,000"
PK-1584,No Description,LF-AND-28,127,"< 50,000"
PK-1584,No Description,LF-SIL-017,1604,"< 50,000"
PK-1585,No Description,LF-AND-28,96,"< 50,000"
PK-1585,No Description,LF-SIL-017,166,"< 50,000"
PK-1586,Master Ctn  -  Gold 5*1 Box (655 X 390 X 455 MM),LF-AND-28,87,"< 50,000"
PK-1586,Master Ctn  -  Gold 5*1 Box (655 X 390 X 455 MM),LF-SIL-017,76,"< 50,000"
PK-1586,No Description,LF-AND-28,38,"< 50,000"
PK-1586,No Description,LF-SIL-017,508,"< 50,000"
PK-1587,Master Ctn  -  Bed Swt,LF-AND-28,37,"< 50,000"
PK-1601,Hologram for Piece,LF-AND-28,1484243,"> 200,000"
PK-1601,Hologram for Piece,LF-DEL-01,2183597,"> 200,000"
PK-1601,Hologram for Piece,LF-HAR-E57,8762715,"> 200,000"
PK-1601,Hologram for Piece,LF-PAL-A03,436592,"> 200,000"
PK-1601,Hologram for Piece,LF-SIL-017,1818416,"> 200,000"
PK-1601,Hologram for Piece,LF-VAS-006,2720616,"> 200,000"
PK-1601,No Description,LF-AND-28,4324902,"> 200,000"
PK-1601,No Description,LF-PAL-A03,2700000,"> 200,000"
PK-1601,No Description,LF-SIL-017,2700000,"> 200,000"
PK-1602,Hologram for Outer,LF-AND-28,563187,"> 200,000"
PK-1602,Hologram for Outer,LF-HAR-E57,298800,"> 200,000"
PK-178,Soft Holder Partition,LF-HAR-E57,5300,"< 50,000"
PK-191,Foam (MCB 4x1 With Box),LF-HAR-E57,4700,"< 50,000"
PK-222,Lamp Holder Panni (Size  -  130mm x 140mm),LF-HAR-E57,29699,"< 50,000"
PK-222,No Description,LF-HAR-E57,204400,"> 200,000"
PK-229,No Description,LF-HAR-E57,37171,"< 50,000"
PK-231,No Description,IN_TRANSIT,452760,"> 200,000"
PK-231,No Description,LF-AND-28,94890,"50,000 - 200,000"
PK-231,No Description,LH-302-001,132240,"50,000 - 200,000"
PK-231,WhatsApp Coupon 2 Points (20*40mm),LF-HAR-E57,51520,"50,000 - 200,000"
PK-231,WhatsApp Coupon 2 Points (20*40mm),LF-VAS-006,105000,"50,000 - 200,000"
PK-231,WhatsApp Coupon 2 Points (20*40mm),LH-302-001,643740,"> 200,000"
PK-232,Foam (3x1) J Box,LF-SIL-017,11604,"< 50,000"
PK-232,No Description,LF-AND-28,26050,"< 50,000"
PK-232,No Description,LF-SIL-017,40256,"< 50,000"
PK-234,No Description,LF-AND-28,204,"< 50,000"
PK-239,No Description,LH-302-001,258000,"> 200,000"
PK-239,WhatsApp Scratch Coupon 10 points (35*35mm),LF-AND-28,800,"< 50,000"
PK-239,WhatsApp Scratch Coupon 10 points (35*35mm),LF-HAR-E57,218610,"> 200,000"
PK-239,WhatsApp Scratch Coupon 10 points (35*35mm),LF-VAS-006,8000,"< 50,000"
PK-240,No Description,IN_TRANSIT,8000,"< 50,000"
PK-240,WhatsApp Scratch Coupon 50 points (35*35mm),LF-AND-28,64000,"50,000 - 200,000"
PK-240,WhatsApp Scratch Coupon 50 points (35*35mm),LF-HAR-E57,9485,"< 50,000"
PK-251,Foam (5x1),LF-AND-28,167,"< 50,000"
PK-251,No Description,LF-AND-28,7593,"< 50,000"
PK-251,No Description,LF-SIL-017,13650,"< 50,000"
PK-253,No Description,LF-AND-28,3215,"< 50,000"
PK-254,DC 16A Foam,LF-SIL-017,13717,"< 50,000"
PK-254,No Description,LF-AND-28,4409,"< 50,000"
PK-254,No Description,LF-HAR-E57,5318,"< 50,000"
PK-254,No Description,LF-SIL-017,2676,"< 50,000"
PK-255,No Description,LF-AND-28,9425,"< 50,000"
PK-255,No Description,LF-SIL-017,32330,"< 50,000"
PK-256,No Description,LF-DEL-01,1823,"< 50,000"
PK-256,RCCB DP Foam,LF-DEL-01,1811,"< 50,000"
PK-257,No Description,LF-DEL-01,144,"< 50,000"
PK-257,RCCB FP Foam,LF-DEL-01,239,"< 50,000"
PK-259,No Description,LF-VAS-006,31400,"< 50,000"
PK-260,No Description,LF-SIL-017,12526,"< 50,000"
PK-260,Porc 100A KK Thermocol Top Bottom Set,LF-SIL-017,1269,"< 50,000"
PK-262,No Description,LF-AND-28,302,"< 50,000"
PK-262,No Description,LF-HAR-E57,500,"< 50,000"
PK-262,Thermocol (For 3x1 Box Master Ctn Set),LF-HAR-E57,154,"< 50,000"
PK-263,No Description,LF-AND-28,179,"< 50,000"
PK-263,Thermocol (For 5x1 Master Ctn Set),LF-AND-28,502,"< 50,000"
PK-264,No Description,LF-VAS-006,25,"< 50,000"
PK-266,No Description,LF-AND-28,1590,"< 50,000"
PK-266,Thermocol for Outer (DC 6A),LF-AND-28,890,"< 50,000"
PK-267,No Description,LF-AND-28,3665,"< 50,000"
PK-267,No Description,LF-SIL-017,4000,"< 50,000"
PK-267,Thermocol for Outer (DC 16A),LF-SIL-017,6472,"< 50,000"
PK-269,No Description,LF-SIL-017,985,"< 50,000"
PK-269,Thermocol (For DC 16A Master Ctn),LF-AND-28,0,"< 50,000"
PK-269,Thermocol (For DC 16A Master Ctn),LF-SIL-017,1128,"< 50,000"
PK-271,No Description,LF-SIL-017,3120,"< 50,000"
PK-271,Thermocol (Surf DP),LF-SIL-017,2429,"< 50,000"
PK-272,No Description,LF-SIL-017,1300,"< 50,000"
PK-272,Thermocol (Flush DP),LF-SIL-017,6250,"< 50,000"
PK-273,No Description,LF-HAR-E57,15000,"< 50,000"
PK-285,Wawa 5x1 Foam,LF-HAR-E57,5100,"< 50,000"
PK-291,No Description,LF-SIL-017,612,"< 50,000"
PK-291,Porc KK Thermocol Set for 63/240V,LF-SIL-017,1939,"< 50,000"
PK-299,Sheet Thermocol for Master Ctn,LF-PAL-A03,500,"< 50,000"
PK-301,No Description,LF-SIL-017,40,"< 50,000"
PK-301,Porc 16/240V KK Thermocol Set for Master Ctn,LF-SIL-017,30,"< 50,000"
PK-302,No Description,LF-SIL-017,52,"< 50,000"
PK-302,Porc 32/240V KK Thermocol Set for Master Ctn,LF-SIL-017,38,"< 50,000"
PK-303,No Description,LF-SIL-017,105,"< 50,000"
PK-303,Porc 32/415V KK Thermocol Set for Master Ctn,LF-SIL-017,17,"< 50,000"
PK-304,Porc 63/415V KK Thermocol Set for Master Ctn,LF-SIL-017,52,"< 50,000"
PK-305,No Description,LF-SIL-017,42,"< 50,000"
PK-305,Porc 100/415V KK Thermocol Set for Master Ctn,LF-SIL-017,47,"< 50,000"
PK-501,Common Panni (2.5x4),LF-HAR-E57,40800,"< 50,000"
PK-505,Common Panni (4.5x5),LF-SIL-017,37812,"< 50,000"
PK-505,No Description,LF-HAR-E57,55125,"50,000 - 200,000"
PK-508,Common Panni (4x4),LF-HAR-E57,58303,"50,000 - 200,000"
PK-513,No Description,LF-SIL-017,20000,"< 50,000"
PK-514,Common Panni (4.5x6),LF-DEL-01,26890,"< 50,000"
PK-514,Common Panni (4.5x6),LF-SIL-017,60000,"50,000 - 200,000"
PK-514,No Description,LF-SIL-017,60000,"50,000 - 200,000"
PK-523,Common Panni (6x11),LF-HAR-E57,78000,"50,000 - 200,000"
PK-657,No Description,LF-PAL-A03,106,"< 50,000"
PK-750,No Description,LF-PAL-A03,500,"< 50,000"
PK-974,Wawa DC 6/16A Foam For Outer (390*170*8mm),LF-HAR-E57,360,"< 50,000"
PK-975,Wawa DC 6/16A Foam For Inner (165*75*10mm),LF-HAR-E57,900,"< 50,000"
PK-I-1016,Jazz Swt Inner,LF-AND-28,451,"< 50,000"
PK-I-1016,No Description,IN_TRANSIT,5320,"< 50,000"
PK-I-1016,No Description,LF-AND-28,5000,"< 50,000"
PK-I-1046,No Description,LF-SIL-017,10649,"< 50,000"
PK-I-1061,No Description,LF-AND-28,50000,"< 50,000"
PK-I-1061,No Description,LF-SIL-017,41800,"< 50,000"
PK-I-1061,Super Swt Inner,LF-AND-28,2719,"< 50,000"
PK-I-1091,Ticino Inner,LF-SIL-017,15000,"< 50,000"
PK-I-1441,Relax Bed Swt Inner,LF-HAR-E57,48000,"< 50,000"
PK-I-1451,Gold Hanging Bed Switch Inner,LF-AND-28,8376,"< 50,000"
PK-I-1451,No Description,LF-AND-28,14400,"< 50,000"
PK-I-14903,Hi Glass 3M Inner,LF-VAS-006,504,"< 50,000"
PK-I-14904,Hi Glass 4M Inner,LF-VAS-006,191,"< 50,000"
PK-I-14906,Hi Glass 6M Inner,LF-VAS-006,156,"< 50,000"
PK-I-14909,Hi Glass 8Sq Inner,LF-VAS-006,362,"< 50,000"
PK-I-1491,Gold 16A Swt Inner,LF-SIL-017,9900,"< 50,000"
PK-I-1491,No Description,LF-SIL-017,130,"< 50,000"
PK-I-14912,Hi Glass 12M Inner,LF-VAS-006,471,"< 50,000"
PK-I-1621,Gold 3pin Socket Inner,LF-SIL-017,141889,"50,000 - 200,000"
