SO_No,SO_Date,Completely_Shipped,Shipment_Status
SO/AND/26/00155,2025-08-25,1,Fully Shipped
SO/AND/26/00156,2025-08-25,1,Fully Shipped
SO/AND/26/00157,2025-08-26,1,Fully Shipped
SO/AND/26/00158,2025-08-26,1,Fully Shipped
SO/AND/26/00159,2025-08-26,1,Fully Shipped
SO/AND/26/00160,2025-08-28,1,Fully Shipped
SO/AND/26/00161,2025-08-28,1,Fully Shipped
SO/AND/26/00162,2025-08-29,1,Fully Shipped
SO/AND/26/00163,2025-08-30,0,Not Shipped
SO/AND/26/00164,2025-08-30,0,Not Shipped
SO/AND/26/00165,2025-08-30,1,Fully Shipped
SO/AND/26/00166,2025-09-01,1,Fully Shipped
SO/AND/26/00167,2025-09-01,1,Fully Shipped
SO/AND/26/00168,2025-09-01,1,Fully Shipped
SO/AND/26/00169,2025-09-01,1,Fully Shipped
SO/AND/26/00170,2025-09-01,1,Fully Shipped
SO/AND/26/00171,2025-09-01,0,Not Shipped
SO/AND/26/00172,2025-09-04,1,Fully Shipped
SO/AND/26/00173,2025-09-04,1,Fully Shipped
SO/AND/26/00174,2025-09-05,1,Fully Shipped
SO/AND/26/00175,2025-09-05,1,Fully Shipped
SO/AND/26/00176,2025-09-08,1,Fully Shipped
SO/AND/26/00177,2025-09-08,1,Fully Shipped
SO/AND/26/00178,2025-09-08,1,Fully Shipped
SO/AND/26/00179,2025-09-08,1,Fully Shipped
SO/AND/26/00180,2025-09-08,1,Fully Shipped
SO/AND/26/00181,2025-09-08,1,Fully Shipped
SO/AND/26/00182,2025-09-09,1,Fully Shipped
SO/AND/26/00183,2025-09-09,1,Fully Shipped
SO/AND/26/00184,2025-09-09,0,Not Shipped
SO/AND/26/00185,2025-09-10,1,Fully Shipped
SO/AND/26/00186,2025-09-11,1,Fully Shipped
SO/AND/26/00187,2025-09-11,0,Not Shipped
SO/AND/26/00188,2025-09-11,0,Not Shipped
SO/AND/26/00189,2025-09-11,0,Not Shipped
SO/AND/26/00190,2025-09-11,1,Fully Shipped
SO/AND/26/00191,2025-09-11,1,Fully Shipped
SO/AND/26/00192,2025-09-12,0,Not Shipped
SO/AND/26/00193,2025-09-12,1,Fully Shipped
SO/AND/26/00194,2025-09-12,1,Fully Shipped
SO/AND/26/00195,2025-09-12,1,Fully Shipped
SO/AND/26/00196,2025-09-12,1,Fully Shipped
SO/AND/26/00197,2025-09-12,1,Fully Shipped
SO/AND/26/00198,2025-09-12,1,Fully Shipped
SO/AND/26/00199,2025-09-13,1,Fully Shipped
SO/AND/26/00200,2025-09-13,1,Fully Shipped
SO/AND/26/00201,2025-09-15,1,Fully Shipped
SO/AND/26/00202,2025-09-18,1,Fully Shipped
SO/AND/26/00203,2025-09-18,1,Fully Shipped
SO/AND/26/00204,2025-09-19,1,Fully Shipped
SO/AND/26/00205,2025-09-19,1,Fully Shipped
SO/AND/26/00206,2025-09-19,1,Fully Shipped
SO/AND/26/00207,2025-09-20,1,Fully Shipped
SO/AND/26/00208,2025-09-20,1,Fully Shipped
SO/AND/26/00209,2025-09-22,1,Fully Shipped
SO/AND/26/00210,2025-09-22,0,Not Shipped
SO/AND/26/00211,2025-09-23,1,Fully Shipped
SO/AND/26/00212,2025-09-23,1,Fully Shipped
SO/AND/26/00213,2025-09-27,1,Fully Shipped
SO/AND/26/00214,2025-09-24,0,Not Shipped
SO/AND/26/00215,2025-09-24,1,Fully Shipped
SO/AND/26/00216,2025-09-24,1,Fully Shipped
SO/AND/26/00217,2025-09-25,0,Not Shipped
SO/AND/26/00218,2025-09-25,1,Fully Shipped
SO/AND/26/00219,2025-10-08,1,Fully Shipped
SO/AND/26/00220,2025-09-26,0,Not Shipped
SO/AND/26/00221,2025-09-26,1,Fully Shipped
SO/AND/26/00222,2025-09-26,1,Fully Shipped
SO/AND/26/00223,2025-09-26,1,Fully Shipped
SO/AND/26/00224,2025-09-26,0,Not Shipped
SO/AND/26/00225,2025-09-26,1,Fully Shipped
SO/AND/26/00226,2025-09-26,1,Fully Shipped
SO/AND/26/00227,2025-09-27,1,Fully Shipped
SO/AND/26/00228,2025-09-27,1,Fully Shipped
SO/AND/26/00229,2025-09-27,1,Fully Shipped
SO/AND/26/00230,2025-09-27,1,Fully Shipped
SO/AND/26/00231,2025-09-27,1,Fully Shipped
SO/AND/26/00232,2025-09-27,1,Fully Shipped
SO/AND/26/00233,2025-10-17,0,Not Shipped
SO/AND/26/00234,2025-09-27,0,Not Shipped
SO/AND/26/00235,2025-11-22,1,Fully Shipped
SO/AND/26/00236,2025-09-30,1,Fully Shipped
SO/AND/26/00237,2025-09-30,1,Fully Shipped
SO/AND/26/00238,2025-09-30,1,Fully Shipped
SO/AND/26/00239,2025-09-30,0,Not Shipped
SO/AND/26/00240,2025-09-30,1,Fully Shipped
SO/AND/26/00241,2025-09-30,1,Fully Shipped
SO/AND/26/00242,2025-09-30,0,Not Shipped
SO/AND/26/00243,2025-09-30,1,Fully Shipped
SO/AND/26/00244,2025-09-30,0,Not Shipped
SO/AND/26/00245,2025-09-30,0,Not Shipped
SO/AND/26/00246,2025-10-03,0,Not Shipped
SO/AND/26/00247,2025-10-04,0,Not Shipped
SO/AND/26/00248,2025-10-07,1,Fully Shipped
SO/AND/26/00249,2025-10-08,1,Fully Shipped
SO/AND/26/00250,2025-10-08,1,Fully Shipped
SO/AND/26/00251,2025-10-08,1,Fully Shipped
SO/AND/26/00252,2025-10-09,1,Fully Shipped
SO/AND/26/00253,2025-10-09,1,Fully Shipped
SO/AND/26/00254,2025-10-09,1,Fully Shipped
SO/AND/26/00255,2025-10-10,1,Fully Shipped
SO/AND/26/00256,2025-10-10,1,Fully Shipped
SO/AND/26/00257,2025-10-10,1,Fully Shipped
SO/AND/26/00258,2025-10-10,1,Fully Shipped
SO/AND/26/00259,2025-10-10,1,Fully Shipped
SO/AND/26/00260,2025-10-10,1,Fully Shipped
SO/AND/26/00261,2025-10-10,1,Fully Shipped
SO/AND/26/00262,2025-10-10,1,Fully Shipped
SO/AND/26/00263,2025-10-11,1,Fully Shipped
SO/AND/26/00264,2025-10-11,1,Fully Shipped
SO/AND/26/00265,2025-10-13,1,Fully Shipped
SO/AND/26/00266,2025-10-13,1,Fully Shipped
SO/AND/26/00267,2025-10-14,1,Fully Shipped
SO/AND/26/00268,2025-10-14,1,Fully Shipped
SO/AND/26/00269,2025-10-16,1,Fully Shipped
SO/AND/26/00270,2025-10-14,1,Fully Shipped
SO/AND/26/00271,2025-10-14,1,Fully Shipped
SO/AND/26/00272,2025-10-14,1,Fully Shipped
SO/AND/26/00273,2025-10-15,1,Fully Shipped
SO/AND/26/00274,2025-10-15,1,Fully Shipped
SO/AND/26/00275,2025-10-17,1,Fully Shipped
SO/AND/26/00276,2025-10-17,1,Fully Shipped
SO/AND/26/00277,2025-10-17,1,Fully Shipped
SO/AND/26/00278,2025-10-17,1,Fully Shipped
SO/AND/26/00279,2025-10-17,1,Fully Shipped
SO/AND/26/00280,2025-10-17,1,Fully Shipped
SO/AND/26/00281,2025-10-18,1,Fully Shipped
SO/AND/26/00282,2025-10-18,1,Fully Shipped
SO/AND/26/00283,2025-10-19,1,Fully Shipped
SO/AND/26/00284,2025-10-19,1,Fully Shipped
SO/AND/26/00285,2025-10-20,1,Fully Shipped
SO/AND/26/00286,2025-10-27,1,Fully Shipped
SO/AND/26/00287,2025-10-28,1,Fully Shipped
SO/AND/26/00288,2025-10-28,1,Fully Shipped
SO/AND/26/00289,2025-10-28,0,Not Shipped
SO/AND/26/00290,2025-10-28,0,Not Shipped
SO/AND/26/00291,2025-10-28,0,Not Shipped
SO/AND/26/00292,2025-10-28,1,Fully Shipped
SO/AND/26/00293,2025-10-29,1,Fully Shipped
SO/AND/26/00294,2025-10-29,1,Fully Shipped
SO/AND/26/00295,2025-10-29,1,Fully Shipped
SO/AND/26/00296,2025-10-29,1,Fully Shipped
SO/AND/26/00297,2025-10-29,1,Fully Shipped
SO/AND/26/00298,2025-10-29,1,Fully Shipped
SO/AND/26/00299,2025-10-30,0,Not Shipped
SO/AND/26/00300,2025-10-30,0,Not Shipped
SO/AND/26/00301,2025-10-30,0,Not Shipped
SO/AND/26/00302,2025-10-30,1,Fully Shipped
SO/AND/26/00303,2025-10-30,0,Not Shipped
SO/AND/26/00304,2025-10-30,1,Fully Shipped
SO/AND/26/00305,2025-10-30,1,Fully Shipped
SO/AND/26/00306,2025-10-31,1,Fully Shipped
SO/AND/26/00307,2025-10-31,1,Fully Shipped
SO/AND/26/00308,2025-10-31,1,Fully Shipped
SO/AND/26/00309,2025-10-31,1,Fully Shipped
SO/AND/26/00310,2025-10-31,0,Not Shipped
SO/AND/26/00311,2025-10-31,1,Fully Shipped
SO/AND/26/00312,2025-10-31,1,Fully Shipped
SO/AND/26/00313,2025-10-31,1,Fully Shipped
SO/AND/26/00314,2025-10-31,1,Fully Shipped
SO/AND/26/00315,2025-10-31,0,Not Shipped
SO/AND/26/00316,2025-10-31,1,Fully Shipped
SO/AND/26/00317,2025-10-31,1,Fully Shipped
SO/AND/26/00318,2025-10-31,1,Fully Shipped
SO/AND/26/00319,2025-10-31,1,Fully Shipped
SO/AND/26/00320,2025-10-31,1,Fully Shipped
SO/AND/26/00321,2025-10-31,1,Fully Shipped
SO/AND/26/00322,2025-10-30,0,Not Shipped
SO/AND/26/00323,2025-10-31,1,Fully Shipped
SO/AND/26/00324,2025-10-31,1,Fully Shipped
SO/AND/26/00325,2025-10-31,0,Not Shipped
SO/AND/26/00326,2025-10-31,0,Not Shipped
SO/AND/26/00327,2025-10-31,1,Fully Shipped
SO/AND/26/00328,2025-10-31,1,Fully Shipped
SO/AND/26/00329,2025-10-31,1,Fully Shipped
SO/AND/26/00330,2025-10-31,1,Fully Shipped
SO/AND/26/00331,2025-10-31,1,Fully Shipped
SO/AND/26/00332,2025-11-22,1,Fully Shipped
SO/AND/26/00333,2025-11-03,0,Not Shipped
SO/AND/26/00334,2025-11-04,0,Not Shipped
SO/AND/26/00335,2025-11-04,1,Fully Shipped
SO/AND/26/00336,2025-11-05,0,Not Shipped
SO/AND/26/00337,2025-11-07,1,Fully Shipped
SO/AND/26/00338,2025-11-07,0,Not Shipped
SO/AND/26/00339,2025-11-07,1,Fully Shipped
SO/AND/26/00340,2025-11-08,1,Fully Shipped
SO/AND/26/00341,2025-11-08,1,Fully Shipped
SO/AND/26/00342,2025-11-08,1,Fully Shipped
SO/AND/26/00343,2025-11-08,0,Not Shipped
SO/AND/26/00344,2025-11-08,0,Not Shipped
SO/AND/26/00345,2025-11-08,1,Fully Shipped
SO/AND/26/00346,2025-11-11,0,Not Shipped
SO/AND/26/00347,2025-11-11,0,Not Shipped
SO/AND/26/00348,2025-11-11,1,Fully Shipped
SO/AND/26/00349,2025-11-11,0,Not Shipped
SO/AND/26/00350,2025-11-11,1,Fully Shipped
SO/AND/26/00351,2025-11-11,0,Not Shipped
SO/AND/26/00352,2025-11-11,0,Not Shipped
SO/AND/26/00353,2025-11-11,0,Not Shipped
SO/AND/26/00354,2025-11-11,1,Fully Shipped
SO/AND/26/00355,2025-11-11,0,Not Shipped
SO/AND/26/00356,2025-11-11,0,Not Shipped
SO/AND/26/00357,2025-11-11,0,Not Shipped
SO/AND/26/00358,2025-11-11,0,Not Shipped
SO/AND/26/00359,2025-11-11,1,Fully Shipped
SO/AND/26/00360,2025-11-11,1,Fully Shipped
SO/AND/26/00361,2025-11-12,1,Fully Shipped
SO/AND/26/00362,2025-11-12,0,Not Shipped
SO/AND/26/00363,2025-11-12,1,Fully Shipped
SO/AND/26/00364,2025-11-19,1,Fully Shipped
SO/AND/26/00365,2025-11-13,1,Fully Shipped
SO/AND/26/00366,2025-11-13,1,Fully Shipped
SO/AND/26/00367,2025-11-14,1,Fully Shipped
SO/AND/26/00368,2025-11-14,0,Not Shipped
SO/AND/26/00369,2025-11-14,1,Fully Shipped
SO/AND/26/00370,2025-11-14,0,Not Shipped
SO/AND/26/00371,2025-11-14,0,Not Shipped
SO/AND/26/00372,2025-11-15,0,Not Shipped
SO/AND/26/00373,2025-11-18,0,Not Shipped
SO/AND/26/00374,2025-11-19,0,Not Shipped
SO/AND/26/00375,2025-11-20,1,Fully Shipped
SO/AND/26/00376,2025-11-20,1,Fully Shipped
SO/AND/26/00377,2025-11-21,1,Fully Shipped
SO/AND/26/00378,2025-11-21,1,Fully Shipped
SO/AND/26/00379,2025-11-21,1,Fully Shipped
SO/AND/26/00380,2025-11-21,1,Fully Shipped
SO/AND/26/00381,2025-11-22,1,Fully Shipped
SO/AND/26/00382,2025-11-22,1,Fully Shipped
SO/AND/26/00383,2025-11-22,1,Fully Shipped
SO/AND/26/00384,2025-11-25,0,Not Shipped
SO/AND/26/00385,2025-11-27,0,Not Shipped
SO/AND/26/00386,2025-11-26,1,Fully Shipped
SO/AND/26/00387,2025-11-27,1,Fully Shipped
SO/AND/26/00388,2025-11-27,1,Fully Shipped
SO/AND/26/00390,2025-11-29,1,Fully Shipped
SO/AND/26/00391,2025-11-29,1,Fully Shipped
SO/AND/26/00392,2025-11-29,1,Fully Shipped
SO/AND/26/00393,2025-11-29,0,Not Shipped
SO/AND/26/00394,2025-11-29,0,Not Shipped
SO/AND/26/00395,2025-11-29,1,Fully Shipped
SO/AND/26/00396,2025-11-29,0,Not Shipped
SO/AND/26/00397,2025-11-29,0,Not Shipped
SO/AND/26/00398,2025-11-29,0,Not Shipped
SO/AND/26/00399,2025-11-29,0,Not Shipped
SO/AND/26/00400,2025-11-29,0,Not Shipped
SO/AND/26/00401,2025-11-29,0,Not Shipped
SO/AND/26/00403,2025-11-29,0,Not Shipped
SO/AND/26/00404,2025-11-29,0,Not Shipped
SO/AND/26/00405,2025-11-29,0,Not Shipped
SO/AND/26/00406,2025-11-29,1,Fully Shipped
SO/AND/26/00407,2025-11-30,1,Fully Shipped
SO/AND/26/00408,2025-12-01,1,Fully Shipped
SO/AND/26/00409,2025-12-01,1,Fully Shipped
SO/AND/26/00410,2025-12-01,1,Fully Shipped
SO/AND/26/00411,2025-12-01,1,Fully Shipped
SO/AND/26/00412,2025-12-01,1,Fully Shipped
SO/AND/26/00413,2025-12-01,1,Fully Shipped
SO/AND/26/00414,2025-12-01,1,Fully Shipped
SO/AND/26/00415,2025-12-01,1,Fully Shipped
SO/AND/26/00417,2025-12-01,0,Not Shipped
SO/AND/26/00418,2025-12-01,1,Fully Shipped
SO/AND/26/00419,2025-11-30,1,Fully Shipped
SO/AND/26/00420,2025-12-02,1,Fully Shipped
SO/AND/26/00421,2025-12-02,1,Fully Shipped
SO/AND/26/00422,2025-12-02,1,Fully Shipped
SO/AND/26/00423,2025-12-02,1,Fully Shipped
SO/AND/26/00425,2025-11-30,1,Fully Shipped
SO/AND/26/00426,2025-11-30,1,Fully Shipped
SO/AND/26/00427,2025-12-04,1,Fully Shipped
SO/AND/26/00428,2025-12-04,1,Fully Shipped
SO/AND/26/00429,2025-12-05,1,Fully Shipped
SO/AND/26/00430,2025-12-05,1,Fully Shipped
SO/AND/26/00431,2025-12-05,1,Fully Shipped
SO/AND/26/00432,2025-12-06,1,Fully Shipped
SO/AND/26/00433,2025-12-06,1,Fully Shipped
SO/AND/26/00435,2025-12-10,1,Fully Shipped
SO/AND/26/00436,2025-12-10,1,Fully Shipped
SO/AND/26/00437,2025-12-11,0,Not Shipped
SO/BAN/26/00002,2025-04-08,1,Fully Shipped
SO/BAN/26/00004,2025-04-08,0,Not Shipped
SO/BAN/26/00007,2025-04-09,1,Fully Shipped
SO/BAN/26/00008,2025-04-09,0,Not Shipped
SO/BAN/26/00009,2025-04-09,1,Fully Shipped
SO/BAN/26/00010,2025-04-09,1,Fully Shipped
SO/BAN/26/00014,2025-04-18,1,Fully Shipped
SO/BAN/26/00015,2025-04-18,0,Not Shipped
SO/BAN/26/00018,2025-04-19,1,Fully Shipped
SO/BAN/26/00019,2025-04-21,1,Fully Shipped
SO/BAN/26/00020,2025-04-23,1,Fully Shipped
SO/BAN/26/00021,2025-04-23,1,Fully Shipped
SO/BAN/26/00022,2025-04-25,1,Fully Shipped
SO/BAN/26/00023,2025-04-25,0,Not Shipped
SO/BAN/26/00024,2025-04-27,0,Not Shipped
SO/BAN/26/00026,2025-04-28,0,Not Shipped
SO/BAN/26/00027,2025-04-30,0,Not Shipped
SO/BAN/26/00029,2025-04-30,0,Not Shipped
SO/BAN/26/00030,2025-04-30,0,Not Shipped
SO/BAN/26/00031,2025-04-30,0,Not Shipped
SO/BAN/26/00032,2025-04-28,1,Fully Shipped
SO/BAN/26/00033,2025-04-29,0,Not Shipped
SO/BAN/26/00034,2025-04-30,1,Fully Shipped
SO/BAN/26/00035,2025-04-30,0,Not Shipped
SO/BAN/26/00036,2025-04-30,1,Fully Shipped
SO/BAN/26/00037,2025-04-30,0,Not Shipped
SO/BAN/26/00038,2025-04-30,1,Fully Shipped
SO/BAN/26/00039,2025-05-06,0,Not Shipped
SO/BAN/26/00040,2025-05-09,1,Fully Shipped
SO/BAN/26/00043,2025-05-09,1,Fully Shipped
SO/BAN/26/00044,2025-05-12,1,Fully Shipped
SO/BAN/26/00045,2025-05-13,1,Fully Shipped
SO/BAN/26/00046,2025-05-13,1,Fully Shipped
SO/BAN/26/00048,2025-05-14,1,Fully Shipped
SO/BAN/26/00049,2025-05-14,1,Fully Shipped
SO/BAN/26/00050,2025-05-14,0,Not Shipped
SO/BAN/26/00054,2025-05-17,1,Fully Shipped
SO/BAN/26/00055,2025-05-19,0,Not Shipped
SO/BAN/26/00056,2025-05-19,1,Fully Shipped
SO/BAN/26/00057,2025-05-27,1,Fully Shipped
SO/BAN/26/00058,2025-05-21,1,Fully Shipped
SO/BAN/26/00059,2025-05-22,1,Fully Shipped
SO/BAN/26/00060,2025-05-22,0,Not Shipped
SO/BAN/26/00061,2025-05-23,1,Fully Shipped
SO/BAN/26/00062,2025-05-23,0,Not Shipped
SO/BAN/26/00066,2025-05-28,1,Fully Shipped
SO/BAN/26/00067,2025-05-28,1,Fully Shipped
SO/BAN/26/00068,2025-05-28,0,Not Shipped
SO/BAN/26/00069,2025-05-28,1,Fully Shipped
SO/BAN/26/00070,2025-05-28,1,Fully Shipped
SO/BAN/26/00071,2025-05-28,0,Not Shipped
SO/BAN/26/00072,2025-05-28,1,Fully Shipped
SO/BAN/26/00073,2025-05-28,0,Not Shipped
SO/BAN/26/00074,2025-05-28,0,Not Shipped
SO/BAN/26/00075,2025-05-29,1,Fully Shipped
SO/BAN/26/00076,2025-05-29,1,Fully Shipped
SO/BAN/26/00077,2025-05-29,1,Fully Shipped
SO/BAN/26/00078,2025-05-29,1,Fully Shipped
SO/BAN/26/00079,2025-05-29,1,Fully Shipped
SO/BAN/26/00080,2025-05-29,1,Fully Shipped
SO/BAN/26/00081,2025-05-29,1,Fully Shipped
SO/BAN/26/00082,2025-05-29,0,Not Shipped
SO/BAN/26/00083,2025-05-29,0,Not Shipped
SO/BAN/26/00084,2025-05-30,1,Fully Shipped
SO/BAN/26/00085,2025-05-30,1,Fully Shipped
SO/BAN/26/00086,2025-05-31,1,Fully Shipped
SO/BAN/26/00087,2025-05-31,1,Fully Shipped
SO/BAN/26/00088,2025-05-31,1,Fully Shipped
SO/BAN/26/00089,2025-05-31,1,Fully Shipped
SO/BAN/26/00090,2025-05-31,1,Fully Shipped
SO/BAN/26/00091,2025-05-31,1,Fully Shipped
SO/BAN/26/00094,2025-05-31,0,Not Shipped
SO/BAN/26/00095,2025-05-31,0,Not Shipped
SO/BAN/26/00096,2025-06-03,1,Fully Shipped
SO/BAN/26/00097,2025-06-10,1,Fully Shipped
SO/BAN/26/00098,2025-06-11,1,Fully Shipped
SO/BAN/26/00099,2025-06-11,0,Not Shipped
SO/BAN/26/00100,2025-06-11,1,Fully Shipped
SO/BAN/26/00101,2025-06-11,0,Not Shipped
SO/BAN/26/00102,2025-06-11,0,Not Shipped
SO/BAN/26/00103,2025-06-11,1,Fully Shipped
SO/BAN/26/00104,2025-06-11,0,Not Shipped
SO/BAN/26/00105,2025-06-12,0,Not Shipped
SO/BAN/26/00106,2025-06-12,1,Fully Shipped
SO/BAN/26/00107,2025-06-13,1,Fully Shipped
SO/BAN/26/00108,2025-06-13,1,Fully Shipped
SO/BAN/26/00109,2025-06-13,0,Not Shipped
SO/BAN/26/00110,2025-06-14,0,Not Shipped
