Vendor,Total_POs,On_Time_POs,Late_POs,On_Time_Pct,Performance_Bucket
KMUNOTAG PRIVATE LIMITED,3,2,1,66.67,<70%
KOEL SYSTEMS,1,0,1,0.0,<70%
KONNARK POLYMER PRIVATE LIMITED,3,0,3,0.0,<70%
KRIMCO INDUSTRIES PVT LTD,3,1,2,33.33,<70%
KUTUMBHA BAHADUR KUSHWAHA - JW,2,2,0,100.0,100%
Khushbu,12,10,2,83.33,80–89%
Khyati Enterprise,4,3,1,75.0,70–79%
Krisel polymers,5,4,1,80.0,80–89%
Kuloday Compu Forms,7,4,3,57.14,<70%
Kurz India Pvt. Ltd.,5,4,1,80.0,80–89%
LALIT ENTERPRISES,8,2,6,25.0,<70%
LALIT TEST EQUIPMENTS,1,0,1,0.0,<70%
LAXMI VINAYAK GAIKWAD,5,1,4,20.0,<70%
LEMONLITE,2,1,1,50.0,<70%
LIBESH ENGINEERING WORKS,1,1,0,100.0,100%
LIBRA PLASTICS,5,5,0,100.0,100%
LOKESH ENTERPRISES,2,2,0,100.0,100%
Leo Electrical and Electronic Corporation,1,1,0,100.0,100%
Leo Graphics ,1,1,0,100.0,100%
Lightronics Electro Components Pvt Ltd,2,1,1,50.0,<70%
LincLite Power Controls,6,0,6,0.0,<70%
Lumirise Private Limited,3,0,3,0.0,<70%
M K Plastics,1,0,1,0.0,<70%
M M ADVERTISING AGENCY,1,1,0,100.0,100%
M.R.ELECTRONICS,2,0,2,0.0,<70%
M.R.ENGINEERING,3,0,3,0.0,<70%
MAA NARAYANI CREATION,4,0,4,0.0,<70%
MAHAVIR COMPUTER STATIONERY & XEROX,10,10,0,100.0,100%
MAHAVIR COMPUTER STATIONERY and XEROX,12,11,1,91.67,90–99%
MAHAVIR TRADERS,6,3,3,50.0,<70%
MANJESH,152,152,0,100.0,100%
MEHTA AND COMPANY,5,4,1,80.0,80–89%
MELCON PLASTICS,12,9,3,75.0,70–79%
MIRAJ ENTERPRISE,8,6,2,75.0,70–79%
MIREN ENTERPRISE,1,0,1,0.0,<70%
MODERN ENGINEERING & SPRING COMPANY,7,4,3,57.14,<70%
MOHINI GAIKWAD,8,7,1,87.5,80–89%
MOKSH TRADING CO,7,4,3,57.14,<70%
MORYA ENTERPRISES,10,8,2,80.0,80–89%
MUKTA PACKAGING,6,2,4,33.33,<70%
Magic Retail Ventures Pvt. Ltd.,1,0,1,0.0,<70%
Manoj Enterprises,14,12,2,85.71,80–89%
Manoj Patel - JW,15,8,7,53.33,<70%
Matrix Technologies,5,1,4,20.0,<70%
Mohit Enterprises,41,36,5,87.8,80–89%
Mukund Jain enterprises,2,1,1,50.0,<70%
NAVKAR ELECTRICALS,10,5,5,50.0,<70%
NECTAR BRASS INDUSTRIES,23,18,5,78.26,70–79%
NEELANJ BUSINESS SOLUTION LLP,2,1,1,50.0,<70%
NEO PACK (INDIA),5,5,0,100.0,100%
NEO TECH SOLUTIONS,1,0,1,0.0,<70%
NEW SANGAM SPRINGS,10,10,0,100.0,100%
NILKAMAL LIMITED (Silvassa),3,2,1,66.67,<70%
NIRANJAN DEORAS PRODUCTIONS,1,0,1,0.0,<70%
NISSAN ADVERTISING CO.,2,1,1,50.0,<70%
Nandini Industries,7,2,5,28.57,<70%
Neha Enterprises,9,7,2,77.78,70–79%
New Vama International,1,1,0,100.0,100%
