Item No.,Location Code,Description,Category,Subcategory,On_Hand,Stock_Value,Last Outward Date,Days Dormant,Status,Days Dormant Display
10001-W,LF-HAR-E57,Slim C-MCB 20A DP - W,MCB,TRIPRITE MCB,80.0,14973.300000000001,2025-10-06,93.0,Slow-Moving,93.0
10011-W,LF-HAR-E57,Slim C-MCB 32A DP - W,MCB,TRIPRITE MCB,80.0,11227.2,,,Dead,Never Moved
10026-W,LF-DEL-01,Triprite Changeover 25A Fp - W,MCB,TRIPRITE MCB,81.0,31823.28,,,Dead,Never Moved
10106-W,IN_TRANSIT,Status MCB 6A SP - W,MODULAR,STATUS,1874.0,122091.76,2025-11-05,63.0,Slow-Moving,63.0
10106-W,LD-CUT-003,Status MCB 6A SP - W,MODULAR,STATUS,520.0,112031.17,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-DHA-007,Status MCB 6A SP - W,MODULAR,STATUS,1211.0,91188.16,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-GUW-009,,MODULAR,STATUS,20.0,0.0,2025-09-27,102.0,Slow-Moving,102.0
10106-W,LD-GWA-010,Status MCB 6A SP - W,MODULAR,STATUS,402.0,39080.64,2025-10-30,69.0,Slow-Moving,69.0
10106-W,LD-IND-012,,MODULAR,STATUS,60.0,3908.07,2025-10-10,89.0,Slow-Moving,89.0
10106-W,LD-JAB-013,Status MCB 6A SP - W,MODULAR,STATUS,100.0,13026.88,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-JAI-014,Status MCB 6A SP - W,MODULAR,STATUS,40.0,2605.38,,,Dead,Never Moved
10106-W,LD-KOL-015,Status MCB 6A SP - W,MODULAR,STATUS,1092.0,71526.5,2025-10-24,75.0,Slow-Moving,75.0
10106-W,LD-LUC-017,Status MCB 6A SP - W,MODULAR,STATUS,53.0,20802.23,2025-10-30,69.0,Slow-Moving,69.0
10106-W,LD-PAT-021,Status MCB 6A SP - W,MODULAR,STATUS,120.0,102677.44,2025-11-12,56.0,Active,56.0
10106-W,LD-RAI-022,,MODULAR,STATUS,600.0,39080.64,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-ROH-024,Status MCB 6A SP - W,MODULAR,STATUS,180.0,17470.8,,,Dead,Never Moved
10106-W,LF-AND-N20,,MODULAR,STATUS,20.0,1302.69,2025-10-13,86.0,Slow-Moving,86.0
10106-W,LF-HAR-E57,,MODULAR,STATUS,7220.0,497593.2,2025-11-13,55.0,Active,55.0
10106-W,LF-HAR-G1,Status MCB 6A SP - W,MODULAR,STATUS,102.0,8573.41,,,Dead,Never Moved
10106-W,LW-BHI-58,Status MCB 6A SP - W,MODULAR,STATUS,40.0,2605.6,,,Dead,Never Moved
10110-W,IN_TRANSIT,Status MCB 10A SP - W,MODULAR,STATUS,3849.0,248737.91,2025-11-08,60.0,Active,60.0
10110-W,LD-CUT-003,Status MCB 10A SP - W,MODULAR,STATUS,941.0,77412.0,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-DHA-007,,MODULAR,STATUS,200.0,19353.0,2025-11-11,57.0,Active,57.0
10110-W,LD-EAS-008,Status MCB 10A SP - W,MODULAR,STATUS,600.0,39154.5,2025-09-17,112.0,Slow-Moving,112.0
10110-W,LD-GWA-010,Status MCB 10A SP - W,MODULAR,STATUS,391.0,81318.75,2025-11-10,58.0,Active,58.0
10110-W,LD-HUB-029,Status MCB 10A SP - W,MODULAR,STATUS,140.0,9030.52,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-IND-012,,MODULAR,STATUS,140.0,9060.59,2025-10-30,69.0,Slow-Moving,69.0
10110-W,LD-JAB-013,Status MCB 10A SP - W,MODULAR,STATUS,22.0,39997.54,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-KOL-015,,MODULAR,STATUS,80.0,5219.17,2025-09-22,107.0,Slow-Moving,107.0
10110-W,LD-LUC-017,Status MCB 10A SP - W,MODULAR,STATUS,8.0,38189.92,2025-10-30,69.0,Slow-Moving,69.0
10110-W,LD-MEE-019,Status MCB 10A SP - W,MODULAR,STATUS,320.0,20879.08,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-RAI-022,,MODULAR,STATUS,80.0,77412.0,2025-11-13,55.0,Active,55.0
10110-W,LD-VIJ-027,Status MCB 10A SP - W,MODULAR,STATUS,20.0,1304.8,2025-10-29,70.0,Slow-Moving,70.0
10110-W,LD-ZIR-028,Status MCB 10A SP - W,MODULAR,STATUS,1.0,36.25,2025-10-07,92.0,Slow-Moving,92.0
10110-W,LF-AND-N20,,MODULAR,STATUS,40.0,2580.15,2025-10-13,86.0,Slow-Moving,86.0
10110-W,LF-HAR-E57,,MODULAR,STATUS,2440.0,241230.0,2025-11-13,55.0,Active,55.0
10110-W,LF-HAR-G1,Status MCB 10A SP - W,MODULAR,STATUS,229.0,16665.37,,,Dead,Never Moved
10116-W,IN_TRANSIT,Status MCB 16A SP - W,MODULAR,STATUS,2078.0,135014.2,2025-11-13,55.0,Active,55.0
10116-W,LD-CUT-003,Status MCB 16A SP - W,MODULAR,STATUS,721.0,116935.51,2025-11-06,62.0,Slow-Moving,62.0
10116-W,LD-DHA-007,,MODULAR,STATUS,323.0,23387.1,2025-11-14,54.0,Active,54.0
10116-W,LD-EAS-008,Status MCB 16A SP - W,MODULAR,STATUS,300.0,19578.26,2025-10-11,88.0,Slow-Moving,88.0
10116-W,LD-GWA-010,Status MCB 16A SP - W,MODULAR,STATUS,1232.0,81970.25,2025-11-10,58.0,Active,58.0
10116-W,LD-HUB-029,Status MCB 16A SP - W,MODULAR,STATUS,122.0,7926.22,2025-10-31,68.0,Slow-Moving,68.0
10116-W,LD-IND-012,,MODULAR,STATUS,120.0,13284.05,2025-11-10,58.0,Active,58.0
10116-W,LD-JAB-013,,MODULAR,STATUS,9.0,12992.83,2025-10-31,68.0,Slow-Moving,68.0
10116-W,LD-JAI-014,,MODULAR,STATUS,79.0,6496.42,2025-10-27,72.0,Slow-Moving,72.0
10116-W,LD-LUC-017,Status MCB 16A SP - W,MODULAR,STATUS,180.0,38978.5,2025-10-31,68.0,Slow-Moving,68.0
10116-W,LD-MEE-019,Status MCB 16A SP - W,MODULAR,STATUS,424.0,53608.82,2025-11-13,55.0,Active,55.0
10116-W,LD-PAT-021,Status MCB 16A SP - W,MODULAR,STATUS,1280.0,122021.58,2025-11-13,55.0,Active,55.0
10116-W,LD-RAI-022,,MODULAR,STATUS,80.0,19489.25,2025-11-13,55.0,Active,55.0
10116-W,LD-ROH-024,Status MCB 16A SP - W,MODULAR,STATUS,20.0,2019.4,2025-10-28,71.0,Slow-Moving,71.0
10116-W,LD-VIJ-027,Status MCB 16A SP - W,MODULAR,STATUS,20.0,1304.95,2025-11-07,61.0,Slow-Moving,61.0
10116-W,LF-AND-N20,,MODULAR,STATUS,16.0,1039.43,2025-10-13,86.0,Slow-Moving,86.0
10116-W,LF-HAR-E57,,MODULAR,STATUS,5340.0,422240.0,2025-11-13,55.0,Active,55.0
10116-W,LF-HAR-G1,Status MCB 16A SP - W,MODULAR,STATUS,61.0,7819.780000000001,2025-10-13,86.0,Slow-Moving,86.0
10116-W,LW-BHI-58,Status MCB 16A SP - W,MODULAR,STATUS,40.0,2598.8,,,Dead,Never Moved
10120-W,IN_TRANSIT,Status MCB 20A SP - W,MODULAR,STATUS,1151.0,74945.47,2025-11-13,55.0,Active,55.0
10120-W,LD-CSN-001,Status MCB 20A SP - W,MODULAR,STATUS,40.0,2601.81,,,Dead,Never Moved
10120-W,LD-DHA-007,Status MCB 20A SP - W,MODULAR,STATUS,440.0,39027.17,2025-11-12,56.0,Active,56.0
10120-W,LD-EAS-008,Status MCB 20A SP - W,MODULAR,STATUS,60.0,3914.93,2025-10-11,88.0,Slow-Moving,88.0
10120-W,LD-GWA-010,Status MCB 20A SP - W,MODULAR,STATUS,281.0,39027.17,2025-10-30,69.0,Slow-Moving,69.0
10120-W,LD-HUB-029,,MODULAR,STATUS,60.0,3902.72,2025-10-28,71.0,Slow-Moving,71.0
10120-W,LD-IND-012,Status MCB 20A SP - W,MODULAR,STATUS,80.0,6698.67,2025-10-10,89.0,Slow-Moving,89.0
10120-W,LD-JAB-013,Status MCB 20A SP - W,MODULAR,STATUS,158.0,19515.0,2025-10-31,68.0,Slow-Moving,68.0
10120-W,LD-JAI-014,Status MCB 20A SP - W,MODULAR,STATUS,202.0,23452.940000000002,2025-10-29,70.0,Slow-Moving,70.0
10120-W,LD-KOL-015,Status MCB 20A SP - W,MODULAR,STATUS,260.0,16923.989999999998,2025-10-31,68.0,Slow-Moving,68.0
10120-W,LD-LUC-017,Status MCB 20A SP - W,MODULAR,STATUS,42.0,2732.0899999999997,2025-10-31,68.0,Slow-Moving,68.0
10120-W,LD-MEE-019,Status MCB 20A SP - W,MODULAR,STATUS,180.0,11744.8,2025-10-07,92.0,Slow-Moving,92.0
10120-W,LD-PAT-021,Status MCB 20A SP - W,MODULAR,STATUS,560.0,84678.62000000001,2025-11-12,56.0,Active,56.0
10120-W,LD-RAI-022,Status MCB 20A SP - W,MODULAR,STATUS,300.0,39030.0,2025-11-13,55.0,Active,55.0
10120-W,LD-ROH-024,Status MCB 20A SP - W,MODULAR,STATUS,40.0,2601.81,,,Dead,Never Moved
10120-W,LD-VIJ-027,,MODULAR,STATUS,40.0,2609.7,2025-10-31,68.0,Slow-Moving,68.0
10120-W,LF-AND-N20,,MODULAR,STATUS,20.0,1300.91,,,Dead,Never Moved
10120-W,LF-HAR-E57,Status MCB 20A SP - W,MODULAR,STATUS,6440.0,334357.0,2025-11-13,55.0,Active,55.0
10120-W,LF-HAR-G1,Status MCB 20A SP - W,MODULAR,STATUS,61.0,4573.02,,,Dead,Never Moved
10125-W,IN_TRANSIT,Status MCB 25A SP - W,MODULAR,STATUS,2829.0,182476.4,2025-11-12,56.0,Active,56.0
10125-W,LD-CEN-003,Status MCB 25A SP - W,MODULAR,STATUS,80.0,5219.4,2025-09-18,111.0,Slow-Moving,111.0
10125-W,LD-COI-006,Status MCB 25A SP - W,MODULAR,STATUS,14.0,3220.96,2025-11-07,61.0,Slow-Moving,61.0
10125-W,LD-DHA-007,,MODULAR,STATUS,168.0,14172.4,2025-11-12,56.0,Active,56.0
10125-W,LD-GWA-010,Status MCB 25A SP - W,MODULAR,STATUS,431.0,77302.99,2025-11-13,55.0,Active,55.0
10125-W,LD-IND-012,Status MCB 25A SP - W,MODULAR,STATUS,160.0,10404.22,2025-11-10,58.0,Active,58.0
10125-W,LD-JAB-013,,MODULAR,STATUS,120.0,7730.3,2025-10-31,68.0,Slow-Moving,68.0
10125-W,LD-JAI-014,Status MCB 25A SP - W,MODULAR,STATUS,9.0,12239.8,2025-11-12,56.0,Active,56.0
10125-W,LD-KOL-015,Status MCB 25A SP - W,MODULAR,STATUS,11.0,1067.77,2025-10-09,90.0,Slow-Moving,90.0
10125-W,LD-LUC-017,Status MCB 25A SP - W,MODULAR,STATUS,1407.0,116080.54999999999,2025-10-31,68.0,Slow-Moving,68.0
10125-W,LD-MAN-018,,MODULAR,STATUS,1.0,97.07,2025-11-06,62.0,Slow-Moving,62.0
10125-W,LD-MEE-019,Status MCB 25A SP - W,MODULAR,STATUS,440.0,45045.270000000004,2025-11-13,55.0,Active,55.0
10125-W,LD-RAI-022,,MODULAR,STATUS,500.0,38651.5,2025-11-13,55.0,Active,55.0
10125-W,LD-RIS-23A,Status MCB 25A SP - W,MODULAR,STATUS,540.0,57977.25,2025-10-31,68.0,Slow-Moving,68.0
10125-W,LD-ROH-024,Status MCB 25A SP - W,MODULAR,STATUS,42.0,7730.33,2025-10-17,82.0,Slow-Moving,82.0
10125-W,LD-ZIR-028,,MODULAR,STATUS,50.0,5153.54,2025-11-13,55.0,Active,55.0
10125-W,LF-AND-28,Status MCB 25A SP - W,MODULAR,STATUS,4.0,1546.08,2025-10-11,88.0,Slow-Moving,88.0
10125-W,LF-AND-N20,,MODULAR,STATUS,20.0,1288.38,,,Dead,Never Moved
10125-W,LF-HAR-E57,,MODULAR,STATUS,3220.0,284736.4,2025-11-13,55.0,Active,55.0
10125-W,LF-HAR-G1,Status MCB 25A SP - W,MODULAR,STATUS,54.0,5183.3,2025-10-13,86.0,Slow-Moving,86.0
10125-W,LW-BHI-58,Status MCB 25A SP - W,MODULAR,STATUS,20.0,1288.4,,,Dead,Never Moved
10132-W,IN_TRANSIT,Status MCB 32A SP - W,MODULAR,STATUS,3931.0,255622.06,2025-11-13,55.0,Active,55.0
10132-W,LD-CEN-003,,MODULAR,STATUS,1800.0,116826.61,2025-10-31,68.0,Slow-Moving,68.0
10132-W,LD-CUT-003,Status MCB 32A SP - W,MODULAR,STATUS,1620.0,193412.93,2025-10-31,68.0,Slow-Moving,68.0
10132-W,LD-DHA-007,,MODULAR,STATUS,163.0,16874.96,2025-10-31,68.0,Slow-Moving,68.0
10132-W,LD-GWA-010,Status MCB 32A SP - W,MODULAR,STATUS,1359.0,96241.67,2025-11-13,55.0,Active,55.0
10132-W,LD-IND-012,,MODULAR,STATUS,102.0,6684.51,2025-11-10,58.0,Active,58.0
10132-W,LD-JAB-013,,MODULAR,STATUS,520.0,39033.97,2025-10-31,68.0,Slow-Moving,68.0
10132-W,LD-JAI-014,,MODULAR,STATUS,9.0,3276.7700000000004,2025-11-13,55.0,Active,55.0
10132-W,LD-LUC-017,Status MCB 32A SP - W,MODULAR,STATUS,204.0,13430.070000000002,2025-10-31,68.0,Slow-Moving,68.0
10132-W,LD-MAN-018,,MODULAR,STATUS,1.0,97.07,2025-11-06,62.0,Slow-Moving,62.0
10132-W,LD-MEE-019,,MODULAR,STATUS,81.0,7281.83,2025-10-31,68.0,Slow-Moving,68.0
10132-W,LD-PAT-021,Status MCB 32A SP - W,MODULAR,STATUS,340.0,45566.469999999994,2025-11-13,55.0,Active,55.0
10132-W,LD-RAI-022,Status MCB 32A SP - W,MODULAR,STATUS,399.0,54519.08,2025-11-13,55.0,Active,55.0
10132-W,LD-ROH-024,Status MCB 32A SP - W,MODULAR,STATUS,207.0,23448.879999999997,2025-11-06,62.0,Slow-Moving,62.0
10132-W,LD-VIJ-027,Status MCB 32A SP - W,MODULAR,STATUS,2.0,194.14,2025-10-09,90.0,Slow-Moving,90.0
10132-W,LD-ZIR-028,Status MCB 32A SP - W,MODULAR,STATUS,181.0,14659.43,2025-11-06,62.0,Slow-Moving,62.0
10132-W,LF-AND-N20,Status MCB 32A SP - W,MODULAR,STATUS,52.0,3988.31,,,Dead,Never Moved
10132-W,LF-HAR-E57,Status MCB 32A SP - W,MODULAR,STATUS,19220.0,1845874.49,2025-11-13,55.0,Active,55.0
10132-W,LF-HAR-G1,Status MCB 32A SP - W,MODULAR,STATUS,707.0,73859.81,2025-10-28,71.0,Slow-Moving,71.0
10132-W,LW-BHI-58,Status MCB 32A SP - W,MODULAR,STATUS,100.0,6491.0,,,Dead,Never Moved
1016-MW,IN_TRANSIT,Gold Jazz 1 Way Switch 6AX - MW,NON-MODULAR,GOLD,12646.0,64240.479999999996,2025-11-13,55.0,Active,55.0
1016-MW,LD-BAN-002,,NON-MODULAR,GOLD,8580.0,45737.24,2025-11-07,61.0,Slow-Moving,61.0
1016-MW,LD-COI-006,,NON-MODULAR,GOLD,420.0,2437.7200000000003,,,Dead,Never Moved
1016-MW,LD-HUB-029,,NON-MODULAR,GOLD,2000.0,23715.03,2025-11-08,60.0,Active,60.0
1016-MW,LD-MAN-018,,NON-MODULAR,GOLD,121.0,4009.31,2025-11-10,58.0,Active,58.0
1016-MW,LF-AND-N20,,NON-MODULAR,GOLD,1.0,10.59,2025-10-14,85.0,Slow-Moving,85.0
1016-MW,LF-HAR-G1,Gold Jazz 1 Way Switch 6A - MW,NON-MODULAR,GOLD,2968.0,24753.12,,,Dead,Never Moved
1021-MW,IN_TRANSIT,Gold Jazz 2 Way Switch 6A - MW,NON-MODULAR,GOLD,20.0,0.0,2025-11-06,62.0,Slow-Moving,62.0
1021-MW,LD-BAN-002,,NON-MODULAR,GOLD,800.0,0.0,2025-10-06,93.0,Slow-Moving,93.0
1021-MW,LF-AND-28,Gold Jazz 2 Way Switch 6A - MW,NON-MODULAR,GOLD,178.0,3077.55,2025-10-29,70.0,Slow-Moving,70.0
1021-MW,LF-HAR-G1,Gold Jazz 2 Way Switch 6A - MW,NON-MODULAR,GOLD,802.0,16721.7,,,Dead,Never Moved
10232-W,IN_TRANSIT,Status MCB 32A DP - W,MODULAR,STATUS,293.0,33488.59,2025-11-13,55.0,Active,55.0
10232-W,LD-CEN-003,Status MCB 32A DP - W,MODULAR,STATUS,570.0,67732.44,2025-10-31,68.0,Slow-Moving,68.0
10232-W,LD-COI-006,Status MCB 32A DP - W,MODULAR,STATUS,12.0,5644.37,2025-10-18,81.0,Slow-Moving,81.0
10232-W,LD-CUT-003,,MODULAR,STATUS,120.0,56443.69,2025-10-31,68.0,Slow-Moving,68.0
10232-W,LD-DHA-007,,MODULAR,STATUS,20.0,2257.75,2025-10-31,68.0,Slow-Moving,68.0
10232-W,LD-GWA-010,Status MCB 32A DP - W,MODULAR,STATUS,52.0,10002.970000000001,2025-11-11,57.0,Active,57.0
10232-W,LD-HUB-029,,MODULAR,STATUS,160.0,20319.73,2025-11-13,55.0,Active,55.0
10232-W,LD-JAI-014,,MODULAR,STATUS,48.0,5644.37,2025-10-28,71.0,Slow-Moving,71.0
10232-W,LD-LUC-017,Status MCB 32A DP - W,MODULAR,STATUS,20.0,2257.75,,,Dead,Never Moved
10232-W,LD-MEE-019,Status MCB 32A DP - W,MODULAR,STATUS,134.0,46013.57,2025-11-08,60.0,Active,60.0
10232-W,LD-ROH-024,,MODULAR,STATUS,431.0,79021.17,2025-11-06,62.0,Slow-Moving,62.0
10232-W,LD-VIJ-027,,MODULAR,STATUS,100.0,11288.74,2025-10-28,71.0,Slow-Moving,71.0
10232-W,LD-ZIR-028,Status MCB 32A DP - W,MODULAR,STATUS,150.0,33866.22,2025-11-11,57.0,Active,57.0
10232-W,LF-AND-N20,Status MCB 32A DP - W,MODULAR,STATUS,7.0,30817.93,2025-10-14,85.0,Slow-Moving,85.0
10232-W,LF-HAR-E57,,MODULAR,STATUS,30.0,14675.7,2025-11-13,55.0,Active,55.0
10232-W,LF-HAR-G1,Status MCB 32A DP - W,MODULAR,STATUS,126.0,26365.170000000002,2025-10-28,71.0,Slow-Moving,71.0
1026-MW,IN_TRANSIT,,NON-MODULAR,GOLD,460.0,6450.12,2025-11-06,62.0,Slow-Moving,62.0
1026-MW,LD-BAN-002,,NON-MODULAR,GOLD,500.0,7011.0,2025-09-19,110.0,Slow-Moving,110.0
1026-MW,LD-LUC-017,Gold Jazz Bell Push 6A - MW,NON-MODULAR,GOLD,2.0,354.9,,,Dead,Never Moved
1026-MW,LF-AND-28,Gold Jazz Bell Push 6A - MW,NON-MODULAR,GOLD,64.0,1088.26,2025-10-29,70.0,Slow-Moving,70.0
1026-MW,LF-HAR-G1,Gold Jazz Bell Push 6A - MW,NON-MODULAR,GOLD,214.0,4238.88,,,Dead,Never Moved
10301-W,IN_TRANSIT,Solo 1M Plate - W,MODULAR,STATUS,329.0,6463.5199999999995,2025-10-29,70.0,Slow-Moving,70.0
10301-W,LD-JAI-014,Solo 1M Plate - W,MODULAR,STATUS,30.0,589.91,,,Dead,Never Moved
10301-W,LD-KOL-015,,MODULAR,STATUS,100.0,1966.36,2025-10-29,70.0,Slow-Moving,70.0
10301-W,LD-MEE-019,,MODULAR,STATUS,61.0,1783.64,,,Dead,Never Moved
10301-W,LD-PAT-021,Solo 1M Plate - W,MODULAR,STATUS,209.0,4387.41,2025-10-09,90.0,Slow-Moving,90.0
10301-W,LF-HAR-E57,Solo 1M Plate - W,MODULAR,STATUS,10.0,194.8,2025-09-12,117.0,Slow-Moving,117.0
10301-W,LF-HAR-G1,Solo 1M Plate - W,MODULAR,STATUS,354.0,7398.94,,,Dead,Never Moved
10302-W,IN_TRANSIT,Solo 2M Plate - W,MODULAR,STATUS,950.0,18424.719999999998,2025-11-13,55.0,Active,55.0
10302-W,LD-CEN-003,Solo 2M Plate - W,MODULAR,STATUS,1310.0,28146.229999999996,2025-10-31,68.0,Slow-Moving,68.0
10302-W,LD-GWA-010,Solo 2M Plate - W,MODULAR,STATUS,2.0,3119.77,2025-10-31,68.0,Slow-Moving,68.0
10302-W,LD-IND-012,,MODULAR,STATUS,30.0,2733.09,2025-10-29,70.0,Slow-Moving,70.0
10302-W,LD-JAB-013,,MODULAR,STATUS,351.0,11699.130000000001,2025-10-31,68.0,Slow-Moving,68.0
10302-W,LD-JAI-014,Solo 2M Plate - W,MODULAR,STATUS,93.0,1949.85,2025-10-12,87.0,Slow-Moving,87.0
10302-W,LD-KOL-015,,MODULAR,STATUS,400.0,7837.469999999999,2025-10-31,68.0,Slow-Moving,68.0
10302-W,LD-LUC-017,Solo 2M Plate - W,MODULAR,STATUS,1210.0,24064.35,2025-11-13,55.0,Active,55.0
10302-W,LD-MEE-019,Solo 2M Plate - W,MODULAR,STATUS,180.0,10821.3,2025-10-31,68.0,Slow-Moving,68.0
10302-W,LD-PAT-021,Solo 2M Plate - W,MODULAR,STATUS,308.0,6006.68,2025-11-10,58.0,Active,58.0
10302-W,LD-RAI-022,,MODULAR,STATUS,1687.0,41143.509999999995,2025-11-13,55.0,Active,55.0
10302-W,LD-RIS-23A,Solo 2M Plate - W,MODULAR,STATUS,330.0,7994.4,2025-10-31,68.0,Slow-Moving,68.0
10302-W,LD-ROH-024,Solo 2M Plate - W,MODULAR,STATUS,382.0,8579.36,2025-10-31,68.0,Slow-Moving,68.0
10302-W,LD-SRI-025,,MODULAR,STATUS,100.0,1949.85,2025-09-30,99.0,Slow-Moving,99.0
10302-W,LF-AND-N20,Solo 2M Plate - W,MODULAR,STATUS,8.0,156.0,,,Dead,Never Moved
10302-W,LF-HAR-E57,,MODULAR,STATUS,7080.0,101398.6,2025-11-13,55.0,Active,55.0
10302-W,LF-HAR-G1,Solo 2M Plate - W,MODULAR,STATUS,51.0,1303.42,2025-10-13,86.0,Slow-Moving,86.0
10303-W,IN_TRANSIT,Solo 3M Plate - W,MODULAR,STATUS,5267.0,122593.49999999999,2025-11-14,54.0,Active,54.0
10303-W,LD-CEN-003,Solo 3M Plate - W,MODULAR,STATUS,720.0,16773.74,2025-10-31,68.0,Slow-Moving,68.0
10303-W,LD-GUW-009,,MODULAR,STATUS,10.0,233.02,2025-10-14,85.0,Slow-Moving,85.0
10303-W,LD-GWA-010,,MODULAR,STATUS,405.0,16758.25,2025-11-10,58.0,Active,58.0
10303-W,LD-JAB-013,Solo 3M Plate - W,MODULAR,STATUS,328.0,8402.46,2025-10-31,68.0,Slow-Moving,68.0
10303-W,LD-KOL-015,Solo 3M Plate - W,MODULAR,STATUS,351.0,8191.06,2025-10-31,68.0,Slow-Moving,68.0
10303-W,LD-LUC-017,,MODULAR,STATUS,543.0,23047.2,2025-11-13,55.0,Active,55.0
10303-W,LD-MEE-019,,MODULAR,STATUS,317.0,10948.92,2025-11-11,57.0,Active,57.0
10303-W,LD-PAT-021,Solo 3M Plate - W,MODULAR,STATUS,950.0,24338.43,2025-11-11,57.0,Active,57.0
10303-W,LD-RAI-022,Solo 3M Plate - W,MODULAR,STATUS,1130.0,26305.230000000003,2025-11-13,55.0,Active,55.0
10303-W,LD-RIS-23A,Solo 3M Plate - W,MODULAR,STATUS,360.0,8379.12,2025-11-09,59.0,Active,59.0
10303-W,LD-ROH-024,Solo 3M Plate - W,MODULAR,STATUS,299.0,8146.370000000001,2025-10-31,68.0,Slow-Moving,68.0
10303-W,LD-SRI-025,,MODULAR,STATUS,151.0,6983.07,2025-10-29,70.0,Slow-Moving,70.0
10303-W,LD-ZIR-028,,MODULAR,STATUS,50.0,4656.0,2025-11-13,55.0,Active,55.0
10303-W,LF-AND-28,Solo 3M Plate - W,MODULAR,STATUS,150.0,3492.0,2025-10-06,93.0,Slow-Moving,93.0
10303-W,LF-AND-N20,,MODULAR,STATUS,150.0,3492.0,,,Dead,Never Moved
10303-W,LF-HAR-E57,Solo 3M Plate - W,MODULAR,STATUS,20660.0,451358.84,2025-11-13,55.0,Active,55.0
10303-W,LF-HAR-G1,Solo 3M Plate - W,MODULAR,STATUS,540.0,13085.179999999998,,,Dead,Never Moved
10304-W,IN_TRANSIT,Solo 4M Plate - W,MODULAR,STATUS,2266.0,61971.590000000004,2025-11-13,55.0,Active,55.0
10304-W,LD-CEN-003,Solo 4M Plate - W,MODULAR,STATUS,620.0,30080.16,2025-10-31,68.0,Slow-Moving,68.0
10304-W,LD-GWA-010,Solo 4M Plate - W,MODULAR,STATUS,2.0,10128.0,2025-10-30,69.0,Slow-Moving,69.0
10304-W,LD-IND-012,,MODULAR,STATUS,20.0,557.66,2025-11-10,58.0,Active,58.0
10304-W,LD-JAB-013,,MODULAR,STATUS,220.0,11394.0,2025-10-31,68.0,Slow-Moving,68.0
10304-W,LD-JAI-014,Solo 4M Plate - W,MODULAR,STATUS,180.0,5065.18,2025-10-12,87.0,Slow-Moving,87.0
10304-W,LD-KOL-015,,MODULAR,STATUS,340.0,8824.02,2025-10-31,68.0,Slow-Moving,68.0
10304-W,LD-LUC-017,,MODULAR,STATUS,211.0,34182.0,2025-11-13,55.0,Active,55.0
10304-W,LD-MEE-019,,MODULAR,STATUS,247.0,20153.93,2025-11-11,57.0,Active,57.0
10304-W,LD-PAT-021,Solo 4M Plate - W,MODULAR,STATUS,18.0,694.3,2025-11-10,58.0,Active,58.0
10304-W,LD-RAI-022,,MODULAR,STATUS,3690.0,148122.0,2025-11-13,55.0,Active,55.0
10304-W,LD-RIS-23A,Solo 4M Plate - W,MODULAR,STATUS,720.0,22788.0,2025-10-31,68.0,Slow-Moving,68.0
10304-W,LD-ROH-024,Solo 4M Plate - W,MODULAR,STATUS,296.0,9326.24,2025-10-31,68.0,Slow-Moving,68.0
10304-W,LD-SRI-025,Solo 4M Plate - W,MODULAR,STATUS,360.0,22788.0,2025-10-29,70.0,Slow-Moving,70.0
10304-W,LD-ZIR-028,Solo 4M Plate - W,MODULAR,STATUS,75.0,2478.0,2025-10-31,68.0,Slow-Moving,68.0
10304-W,LF-HAR-E57,,MODULAR,STATUS,5220.0,172819.7,2025-11-13,55.0,Active,55.0
10304-W,LF-HAR-G1,Solo 4M Plate - W,MODULAR,STATUS,139.0,4489.12,,,Dead,Never Moved
10306-W,IN_TRANSIT,Solo 6M Plate - W,MODULAR,STATUS,7589.0,275863.62,2025-11-14,54.0,Active,54.0
10306-W,LD-CEN-003,,MODULAR,STATUS,2290.0,122134.82999999999,2025-11-13,55.0,Active,55.0
10306-W,LD-DHA-007,Solo 6M Plate - W,MODULAR,STATUS,200.0,14539.78,2025-10-31,68.0,Slow-Moving,68.0
10306-W,LD-GWA-010,,MODULAR,STATUS,281.0,43619.35,2025-11-12,56.0,Active,56.0
10306-W,LD-JAB-013,,MODULAR,STATUS,430.0,45074.729999999996,2025-10-31,68.0,Slow-Moving,68.0
10306-W,LD-JAI-014,Solo 6M Plate - W,MODULAR,STATUS,141.0,7996.889999999999,2025-10-15,84.0,Slow-Moving,84.0
10306-W,LD-KOL-015,,MODULAR,STATUS,50.0,3644.08,2025-11-13,55.0,Active,55.0
10306-W,LD-LUC-017,,MODULAR,STATUS,2612.0,162482.59,2025-11-13,55.0,Active,55.0
10306-W,LD-MEE-019,,MODULAR,STATUS,24.0,10946.38,2025-11-07,61.0,Slow-Moving,61.0
10306-W,LD-PAT-021,Solo 6M Plate - W,MODULAR,STATUS,80.0,11248.490000000002,2025-11-10,58.0,Active,58.0
10306-W,LD-RAI-022,,MODULAR,STATUS,870.0,87240.0,2025-11-13,55.0,Active,55.0
