Item No.,Location Code,Description,Category,Subcategory,On_Hand,Stock_Value,Last Outward Date,Days Dormant,Status,Days Dormant Display
PK-1602,LF-AND-28,Hologram for Outer,PACKAGING,,563187.0,11269.74,2025-09-22,107.0,Slow-Moving,107.0
PK-1602,LF-HAR-E57,Hologram for Outer,PACKAGING,,298800.0,6000.0,2025-10-10,89.0,Slow-Moving,89.0
PK-1603,LF-PAL-A03,Paper Horse Sticker,PACKAGING,,259850.0,49261.52,2025-11-13,55.0,Active,55.0
PK-1604,LF-AND-28,Small Plastic Horse Sticker (Blue Background),PACKAGING,,72000.0,10080.0,2025-10-06,93.0,Slow-Moving,93.0
PK-1604,LF-HAR-E57,,PACKAGING,,160304.0,18152.06,2025-11-13,55.0,Active,55.0
PK-1604,LF-VAS-006,Small Plastic Horse Sticker (Blue Background),PACKAGING,,9600.0,1056.0,2025-09-01,128.0,Slow-Moving,128.0
PK-1606,LF-HAR-E57,Big Plastic Horse Sticker (Blue Background),PACKAGING,,146400.0,20496.0,2025-09-01,128.0,Slow-Moving,128.0
PK-1608,LF-AND-28,,PACKAGING,,80422.0,7892.639999999999,2025-11-13,55.0,Active,55.0
PK-1608,LF-HAR-E57,Quality Assured Sticker,PACKAGING,,7730.0,4000.0,2025-11-12,56.0,Active,56.0
PK-1608,LF-PAL-A03,Quality Assured Sticker,PACKAGING,,720863.0,68470.23999999999,2025-11-13,55.0,Active,55.0
PK-1608,LF-SIL-017,,PACKAGING,,77975.0,6400.0,2025-11-13,55.0,Active,55.0
PK-170,LF-HAR-E57,Sticker  -  Tested Ok,PACKAGING,,136510.0,44200.0,2025-11-11,57.0,Active,57.0
PK-1711,LF-AND-28,2w Sticker,PACKAGING,,3376.0,218.45999999999998,2025-10-06,93.0,Slow-Moving,93.0
PK-1711,LF-SIL-017,2w Sticker,PACKAGING,,200.0,12.0,,,Dead,Never Moved
PK-178,LF-HAR-E57,Soft Holder Partition,PACKAGING,,5300.0,193319.34,2025-11-10,58.0,Active,58.0
PK-191,LF-HAR-E57,Foam (MCB 4x1 With Box),PACKAGING,,4700.0,3500.0,2025-11-10,58.0,Active,58.0
PK-193,LF-PAL-A03,Plain Card  -  Multi Pendant Holder,PACKAGING,,952.9847,1143.58,,,Dead,Never Moved
PK-194,LF-PAL-A03,Plain Card  -  Diamond Pendant Holder,PACKAGING,,2370.93,2250.0,2025-10-30,69.0,Slow-Moving,69.0
PK-195,LF-PAL-A03,,PACKAGING,,600.0,420.0,2025-10-31,68.0,Slow-Moving,68.0
PK-197,LF-HAR-E57,,PACKAGING,,2.0,7000.0,2025-09-01,128.0,Slow-Moving,128.0
PK-205,LF-HAR-E57,Printing Sheet,PACKAGING,,30.0,10500.0,2025-10-06,93.0,Slow-Moving,93.0
PK-220,LF-AND-28,TCS STD WAX RESIN (110MM X 300M),PACKAGING,,5.0,2310.0,,,Dead,Never Moved
PK-220,LF-VAS-006,TCS STD WAX RESIN (110MM X 300M),PACKAGING,,5.0,2310.0,,,Dead,Never Moved
PK-221,LF-AND-28,BARCODE CHROMO LABEL 100MM X 75MM,PACKAGING,,20000.0,6800.0,,,Dead,Never Moved
PK-221,LF-VAS-006,BARCODE CHROMO LABEL 100MM X 75MM,PACKAGING,,20000.0,6800.0,,,Dead,Never Moved
PK-222,LF-HAR-E57,Lamp Holder Panni (Size  -  130mm x 140mm),PACKAGING,,234099.0,150176.0,2025-11-10,58.0,Active,58.0
PK-229,LF-HAR-E57,,PACKAGING,,37171.0,24097.5,2025-11-13,55.0,Active,55.0
PK-231,IN_TRANSIT,,PACKAGING,,452760.0,90552.0,2025-10-13,86.0,Slow-Moving,86.0
PK-231,LF-AND-28,,PACKAGING,,94890.0,17203.66,2025-11-13,55.0,Active,55.0
PK-231,LF-HAR-E57,WhatsApp Coupon 2 Points (20*40mm),PACKAGING,,51520.0,55024.0,2025-11-12,56.0,Active,56.0
PK-231,LF-VAS-006,WhatsApp Coupon 2 Points (20*40mm),PACKAGING,,105000.0,21000.0,2025-11-11,57.0,Active,57.0
PK-231,LH-302-001,WhatsApp Coupon 2 Points (20*40mm),PACKAGING,,775980.0,266748.0,2025-10-31,68.0,Slow-Moving,68.0
PK-232,LF-AND-28,,PACKAGING,,26050.0,28356.3,2025-11-13,55.0,Active,55.0
PK-232,LF-SIL-017,Foam (3x1) J Box,PACKAGING,,51860.0,53640.0,2025-11-13,55.0,Active,55.0
PK-234,LF-AND-28,,PACKAGING,,203.93,27784.0,2025-11-13,55.0,Active,55.0
PK-239,LF-AND-28,WhatsApp Scratch Coupon 10 points (35*35mm),PACKAGING,,800.0,200192.0,2025-10-31,68.0,Slow-Moving,68.0
PK-239,LF-HAR-E57,WhatsApp Scratch Coupon 10 points (35*35mm),PACKAGING,,218610.0,72739.2,2025-11-11,57.0,Active,57.0
PK-239,LF-VAS-006,WhatsApp Scratch Coupon 10 points (35*35mm),PACKAGING,,8000.0,2720.0,2025-11-13,55.0,Active,55.0
PK-239,LH-302-001,,PACKAGING,,258000.0,95460.0,,,Dead,Never Moved
PK-240,IN_TRANSIT,,PACKAGING,,8000.0,2960.0,2025-10-30,69.0,Slow-Moving,69.0
PK-240,LF-AND-28,WhatsApp Scratch Coupon 50 points (35*35mm),PACKAGING,,64000.0,26640.0,2025-10-30,69.0,Slow-Moving,69.0
PK-240,LF-HAR-E57,WhatsApp Scratch Coupon 50 points (35*35mm),PACKAGING,,9485.0,9668.0,2025-11-13,55.0,Active,55.0
PK-251,LF-AND-28,Foam (5x1),PACKAGING,,7760.0,13302.3,2025-11-13,55.0,Active,55.0
