Vendor,Total_POs,On_Time_POs,Late_POs,On_Time_Pct
HITECH SCREWS & RIVETS,6,0,6,0.0
HITECH SCREWS and RIVETS,5,1,4,20.0
Harshali Optoelectronics Private Limited,3,2,1,66.67
INDRA PRAKASHSO SURYA PRAKASH - JW,9,3,6,33.33
INDRAMANI ENTERPRISES,7,1,6,14.29
Ib enterprises,1,1,0,100.0
InnovativeX Solutions,1,1,0,100.0
J & K INDUSTRIES,1,0,1,0.0
J.K.Plast,1,0,1,0.0
J.M.D,4,0,4,0.0
J.N.ELECTRICALS,3,2,1,66.67
JAI AMBE ENTERPRISE,16,4,12,25.0
JAI BHARAT INDUSTRY,12,7,5,58.33
JAI DURGE ENTERPRISE,2,2,0,100.0
JAYESH INDUSTRIES,14,7,7,50.0
JITENDRA YADAY - JW,3,2,1,66.67
JP Engineering Works,1,1,0,100.0
JR Engineers,1,0,1,0.0
Jitender plastic,6,1,5,16.67
K.P.ENTERPRISES,7,2,5,28.57
K.R.Industries,5,0,5,0.0
KALA ENTERPRISES,3,0,3,0.0
KANKAI ENTERPRISES,23,6,17,26.09
KANVAS HOME PRODUCTS,1,1,0,100.0
KARAN CABLE INDUSTRIES,4,0,4,0.0
KASAT PLASTIC,22,16,6,72.73
KGK JET INDIA PRIVATE LIMITED,4,4,0,100.0
KHUSHAL FASTENERS,2,0,2,0.0
KHUSHI MULTIPACK SOLUTIONS LLP,6,2,4,33.33
KINJAL ENGINEERING WORKS,10,9,1,90.0
KINJAL PLAST COLOURS,3,0,3,0.0
KMUNOTAG PRIVATE LIMITED,3,1,2,33.33
KOEL SYSTEMS,1,0,1,0.0
KONNARK POLYMER PRIVATE LIMITED,3,0,3,0.0
KRIMCO INDUSTRIES PVT LTD,3,1,2,33.33
KUTUMBHA BAHADUR KUSHWAHA - JW,2,2,0,100.0
Khushbu,12,7,5,58.33
Khyati Enterprise,4,2,2,50.0
Krisel polymers,5,3,2,60.0
Kuloday Compu Forms,7,2,5,28.57
Kurz India Pvt. Ltd.,5,3,2,60.0
LALIT ENTERPRISES,8,2,6,25.0
LALIT TEST EQUIPMENTS,1,0,1,0.0
LAXMI VINAYAK GAIKWAD,5,1,4,20.0
LEMONLITE,2,0,2,0.0
LIBESH ENGINEERING WORKS,1,1,0,100.0
LIBRA PLASTICS,5,3,2,60.0
LOKESH ENTERPRISES,2,2,0,100.0
Leo Electrical and Electronic Corporation,1,1,0,100.0
Leo Graphics ,1,1,0,100.0
Lightronics Electro Components Pvt Ltd,2,1,1,50.0
LincLite Power Controls,6,0,6,0.0
Lumirise Private Limited,3,0,3,0.0
M K Plastics,1,0,1,0.0
M M ADVERTISING AGENCY,1,0,1,0.0
M.R.ELECTRONICS,2,0,2,0.0
M.R.ENGINEERING,3,0,3,0.0
MAA NARAYANI CREATION,4,0,4,0.0
MAHAVIR COMPUTER STATIONERY & XEROX,10,8,2,80.0
MAHAVIR COMPUTER STATIONERY and XEROX,12,10,2,83.33
MAHAVIR TRADERS,6,2,4,33.33
MANJESH,152,152,0,100.0
MEHTA AND COMPANY,5,3,2,60.0
MELCON PLASTICS,12,8,4,66.67
MIRAJ ENTERPRISE,8,2,6,25.0
MIREN ENTERPRISE,1,0,1,0.0
MODERN ENGINEERING & SPRING COMPANY,7,3,4,42.86
MOHINI GAIKWAD,8,6,2,75.0
MOKSH TRADING CO,7,3,4,42.86
MORYA ENTERPRISES,10,7,3,70.0
MUKTA PACKAGING,6,2,4,33.33
Magic Retail Ventures Pvt. Ltd.,1,0,1,0.0
Manoj Enterprises,14,9,5,64.29
Manoj Patel - JW,15,8,7,53.33
Matrix Technologies,5,1,4,20.0
Mohit Enterprises,41,32,9,78.05
Mukund Jain enterprises,2,1,1,50.0
NAVKAR ELECTRICALS,10,4,6,40.0
NECTAR BRASS INDUSTRIES,23,13,10,56.52
NEELANJ BUSINESS SOLUTION LLP,2,1,1,50.0
NEO PACK (INDIA),5,3,2,60.0
NEO TECH SOLUTIONS,1,0,1,0.0
NEW SANGAM SPRINGS,10,10,0,100.0
NILKAMAL LIMITED (Silvassa),3,1,2,33.33
NIRANJAN DEORAS PRODUCTIONS,1,0,1,0.0
NISSAN ADVERTISING CO.,2,1,1,50.0
Nandini Industries,7,0,7,0.0
Neha Enterprises,9,4,5,44.44
New Vama International,1,1,0,100.0
Nilkamal Limited-Andheri,1,1,0,100.0
OM INDUSTRIES-NEW,14,7,7,50.0
OM SAI ENTERPRISE - JW,3,2,1,66.67
OM SAI ENTERPRISE - SL - JW,21,13,8,61.9
OMKAR multipack Industries,1,0,1,0.0
P R ENTERPRISES,18,13,5,72.22
P.P.ASSEMBLING,17,7,10,41.18
P5 MARKETING,1,0,1,0.0
PAARTH INDUSTRIES,3,1,2,33.33
