Vendor,Total_POs,On_Time_POs,Late_POs,On_Time_Pct,Bucket,Vendor Count,Performance_Bucket
GAYATRI,1,1,0,100.0,,,
GEO-BOND ADHESIVES,5,2,3,40.0,,,
GHANSHYAM SINGH,7,4,3,57.14,,,
GIRI ENTERPRISES,11,5,6,45.45,,,
GLOBAL STAR COMPONENTS PRIVATE LIMITED,8,3,5,37.5,,,
Gem Enterprises,17,11,6,64.71,,,
Gyanesh Print And Pack,16,11,5,68.75,,,
HARI OM KIRANA STORE,7,0,7,0.0,,,
HARIA METALS,10,4,6,40.0,,,
HIMALAYA POLYPLAST INDUSTRY,2,1,1,50.0,,,
HITECH SCREWS & RIVETS,6,0,6,0.0,,,
HITECH SCREWS and RIVETS,5,1,4,20.0,,,
Harshali Optoelectronics Private Limited,3,2,1,66.67,,,
INDRA PRAKASHSO SURYA PRAKASH - JW,9,4,5,44.44,,,
INDRAMANI ENTERPRISES,7,3,4,42.86,,,
Ib enterprises,1,1,0,100.0,,,
InnovativeX Solutions,1,1,0,100.0,,,
J & K INDUSTRIES,1,1,0,100.0,,,
J.K.Plast,1,0,1,0.0,,,
J.M.D,4,0,4,0.0,,,
J.N.ELECTRICALS,3,2,1,66.67,,,
JAI AMBE ENTERPRISE,16,5,11,31.25,,,
JAI BHARAT INDUSTRY,12,11,1,91.67,,,
JAI DURGE ENTERPRISE,2,2,0,100.0,,,
JAYESH INDUSTRIES,14,10,4,71.43,,,
JITENDRA YADAY - JW,3,3,0,100.0,,,
JP Engineering Works,1,1,0,100.0,,,
JR Engineers,1,0,1,0.0,,,
Jitender plastic,6,1,5,16.67,,,
K.P.ENTERPRISES,7,3,4,42.86,,,
K.R.Industries,5,3,2,60.0,,,
KALA ENTERPRISES,3,0,3,0.0,,,
KANKAI ENTERPRISES,23,9,14,39.13,,,
KANVAS HOME PRODUCTS,1,1,0,100.0,,,
KARAN CABLE INDUSTRIES,4,0,4,0.0,,,
KASAT PLASTIC,22,19,3,86.36,,,
KGK JET INDIA PRIVATE LIMITED,4,4,0,100.0,,,
KHUSHAL FASTENERS,2,1,1,50.0,,,
KHUSHI MULTIPACK SOLUTIONS LLP,6,3,3,50.0,,,
KINJAL ENGINEERING WORKS,10,10,0,100.0,,,
KINJAL PLAST COLOURS,3,2,1,66.67,,,
KMUNOTAG PRIVATE LIMITED,3,2,1,66.67,,,
KOEL SYSTEMS,1,0,1,0.0,,,
KONNARK POLYMER PRIVATE LIMITED,3,0,3,0.0,,,
KRIMCO INDUSTRIES PVT LTD,3,1,2,33.33,,,
KUTUMBHA BAHADUR KUSHWAHA - JW,2,2,0,100.0,,,
Khushbu,12,10,2,83.33,,,
Khyati Enterprise,4,3,1,75.0,,,
Krisel polymers,5,4,1,80.0,,,
Kuloday Compu Forms,7,4,3,57.14,,,
Kurz India Pvt. Ltd.,5,4,1,80.0,,,
LALIT ENTERPRISES,8,2,6,25.0,,,
LALIT TEST EQUIPMENTS,1,0,1,0.0,,,
LAXMI VINAYAK GAIKWAD,5,1,4,20.0,,,
LEMONLITE,2,1,1,50.0,,,
LIBESH ENGINEERING WORKS,1,1,0,100.0,,,
LIBRA PLASTICS,5,5,0,100.0,,,
LOKESH ENTERPRISES,2,2,0,100.0,,,
Leo Electrical and Electronic Corporation,1,1,0,100.0,,,
Leo Graphics ,1,1,0,100.0,,,
Lightronics Electro Components Pvt Ltd,2,1,1,50.0,,,
LincLite Power Controls,6,0,6,0.0,,,
Lumirise Private Limited,3,0,3,0.0,,,
M K Plastics,1,0,1,0.0,,,
M M ADVERTISING AGENCY,1,1,0,100.0,,,
M.R.ELECTRONICS,2,0,2,0.0,,,
M.R.ENGINEERING,3,0,3,0.0,,,
MAA NARAYANI CREATION,4,0,4,0.0,,,
MAHAVIR COMPUTER STATIONERY & XEROX,10,10,0,100.0,,,
MAHAVIR COMPUTER STATIONERY and XEROX,12,11,1,91.67,,,
MAHAVIR TRADERS,6,3,3,50.0,,,
MANJESH,152,152,0,100.0,,,
MEHTA AND COMPANY,5,4,1,80.0,,,
MELCON PLASTICS,12,9,3,75.0,,,
MIRAJ ENTERPRISE,8,6,2,75.0,,,
MIREN ENTERPRISE,1,0,1,0.0,,,
MODERN ENGINEERING & SPRING COMPANY,7,4,3,57.14,,,
MOHINI GAIKWAD,8,7,1,87.5,,,
MOKSH TRADING CO,7,4,3,57.14,,,
MORYA ENTERPRISES,10,8,2,80.0,,,
MUKTA PACKAGING,6,2,4,33.33,,,
Magic Retail Ventures Pvt. Ltd.,1,0,1,0.0,,,
Manoj Enterprises,14,12,2,85.71,,,
Manoj Patel - JW,15,8,7,53.33,,,
Matrix Technologies,5,1,4,20.0,,,
Mohit Enterprises,41,36,5,87.8,,,
Mukund Jain enterprises,2,1,1,50.0,,,
NAVKAR ELECTRICALS,10,5,5,50.0,,,
NECTAR BRASS INDUSTRIES,23,18,5,78.26,,,
NEELANJ BUSINESS SOLUTION LLP,2,1,1,50.0,,,
NEO PACK (INDIA),5,5,0,100.0,,,
NEO TECH SOLUTIONS,1,0,1,0.0,,,
NEW SANGAM SPRINGS,10,10,0,100.0,,,
NILKAMAL LIMITED (Silvassa),3,2,1,66.67,,,
NIRANJAN DEORAS PRODUCTIONS,1,0,1,0.0,,,
NISSAN ADVERTISING CO.,2,1,1,50.0,,,
Nandini Industries,7,2,5,28.57,,,
Neha Enterprises,9,7,2,77.78,,,
New Vama International,1,1,0,100.0,,,
Nilkamal Limited-Andheri,1,1,0,100.0,,,
OM INDUSTRIES-NEW,14,10,4,71.43,,,
OM SAI ENTERPRISE - JW,3,3,0,100.0,,,
OM SAI ENTERPRISE - SL - JW,21,14,7,66.67,,,
OMKAR multipack Industries,1,0,1,0.0,,,
P R ENTERPRISES,18,14,4,77.78,,,
P.P.ASSEMBLING,17,9,8,52.94,,,
P5 MARKETING,1,0,1,0.0,,,
PAARTH INDUSTRIES,3,1,2,33.33,,,
PACKAGING POINT,2,2,0,100.0,,,
PANKAJ POLYMERS,10,9,1,90.0,,,
PARTHIV PLASTIC IND,13,8,5,61.54,,,
PASUPATY INDUSTRIES,10,8,2,80.0,,,
PC ELECTROCOMP PRIVATE LIMITED,1,1,0,100.0,,,
PERFECT PACKERS,5,2,3,40.0,,,
PERFECT PRINT CARE,2,2,0,100.0,,,
PLATINUM INDUSTRIES,22,18,4,81.82,,,
PRAGATI ENTERPRISES,22,7,15,31.82,,,
PREM MICRO ELECTRONICS,6,6,0,100.0,,,
PRINT LINE,13,4,9,30.77,,,
PRINT SHOPPE,1,0,1,0.0,,,
PRINTSOUK,10,2,8,20.0,,,
PRITAM CERAMICS,5,1,4,20.0,,,
PRIYA ENTERPRISES,2,0,2,0.0,,,
PW PRINTWAYS INDIA PRIVATE LIMITED,4,3,1,75.0,,,
Palak Metals Co.,2,1,1,50.0,,,
Pankaj Kumar,11,10,1,90.91,,,
Parmar Engineering Works,5,3,2,60.0,,,
QUALITYZ PACKAGING SOLUTIONS,1,1,0,100.0,,,
R S ENTERPRISES,7,5,2,71.43,,,
RAHUL ENTERPRISES-2,5,4,1,80.0,,,
RAI INNOTECH POLYMERS PVT. LTD.,1,0,1,0.0,,,
RAJ RAI,6,5,1,83.33,,,
RAJAN ELETRICALS,11,2,9,18.18,,,
RAJENDRAPRASAD R MOURYA,3,2,1,66.67,,,
RAJESHREE INDUSTRIES,14,2,12,14.29,,,
RAJESHWAR TIVARI,3,3,0,100.0,,,
RAJIV PLASTICS INDUSTRIES,6,3,3,50.0,,,
RAJU HOTKAR,11,7,4,63.64,,,
RAKESH KUMAR,1,1,0,100.0,,,
RAM ASHRAY PATEL - JW,9,8,1,88.89,,,
RAM KUMAR VERMA - JW,4,2,2,50.0,,,
RAM LAKHAN,3,3,0,100.0,,,
RAM LAL RAM CHANDRA (INDIA) LTD.,5,2,3,40.0,,,
RAM SHARAN - JW,16,12,4,75.0,,,
RAMANUJ TIWARI - JW,1,1,0,100.0,,,
RAMESH BRASS PRODUCTS,1,0,1,0.0,,,
RAYLENSE OPTO ELECTRONICS INDUSTRIES PRIVATE LIMITED,14,7,7,50.0,,,
REKHA TRADING CO,2,0,2,0.0,,,
REPRO POLYTECH,7,6,1,85.71,,,
RIDDHI SIDDHI CORPORATION,40,33,7,82.5,,,
RIYANSH PACKAGING,1,0,1,0.0,,,
RONCH POLYMERS PVT LTD,6,2,4,33.33,,,
ROYAL CERAMIC,1,1,0,100.0,,,
RUPAL PLASTICS PVT LTD,34,31,3,91.18,,,
Radiant Electronics ,2,1,1,50.0,,,
Raj Dhani Enterprises,4,1,3,25.0,,,
Rajendra D. Mane,10,6,4,60.0,,,
Ramaya Packaging,56,48,8,85.71,,,
Rohit Enterprise,1,0,1,0.0,,,
S M MODULAR LLP,3,3,0,100.0,,,
S.PLASTICS,7,4,3,57.14,,,
SACHIN VARMA,1,0,1,0.0,,,
SADGURU INDUSTRIES,6,4,2,66.67,,,
SAI ENTERPRISES (VENDOR),4,1,3,25.0,,,
SAI PRASAD ELECTRIC WORKS,8,5,3,62.5,,,
SAINATH BACKLITE MOULDING - JW,3,1,2,33.33,,,
SANDEEP KUMAR,2,1,1,50.0,,,
SANDHYA DEVI,1,0,1,0.0,,,
SANGEETA PATEL - JW,1,1,0,100.0,,,
SATISH KUMAR MAURYA - JW,18,12,6,66.67,,,
SATYAM SPRING WORKS,3,3,0,100.0,,,
SAURABH PATEL,4,2,2,50.0,,,
SEEMA DEVI - JW,1,1,0,100.0,,,
SHALU - JW,4,1,3,25.0,,,
SHANTIDEVI-JW,8,5,3,62.5,,,
SHIV ENTERPRISES,7,5,2,71.43,,,
SHIVAKESH PATEL,31,29,2,93.55,,,
SHIVAM ENTERPRISES,5,2,3,40.0,,,
SHIVOM PRINTERS,1,1,0,100.0,,,
SHIVPAL ENTERPRISE,6,4,2,66.67,,,
SHOBHA DEVI,8,6,2,75.0,,,
SHREE ADITYA POLYSPIN INDUSTRIES,2,2,0,100.0,,,
SHREE BALAJI PRINTERS,31,19,12,61.29,,,
SHREE BHERUNATH ENTERPRISES,4,4,0,100.0,,,
SHREE RADHIKA PLAST LLP,1,1,0,100.0,,,
SHREE VINAYAK MARKETING,1,0,1,0.0,,,
SHREEDUTT INDUSTRIES,5,0,5,0.0,,,
