PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
PO/A20/26/00001,nan,26-07-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00001,URVI PLASTIC INDUSTRIES,01-05-2025,PPR/AND/26/00296,08-05-2025,0.0,7,≤15 days,May 2025
PO/AND/26/00002,P.P.ASSEMBLING,01-04-2025,PPR/AND/26/00003,03-04-2025,0.0,2,≤15 days,April 2025
PO/AND/26/00003,ARIHANT INDUSTRIES,01-04-2025,PPR/AND/26/00103,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00004,DHARMIN ENTERPRISE,01-04-2025,PPR/AND/26/00137,17-04-2025,0.0,16,>15 days,April 2025
PO/AND/26/00005,OM INDUSTRIES-NEW,01-04-2025,PPR/AND/26/00005,04-04-2025,0.0,3,≤15 days,April 2025
PO/AND/26/00006,GIRI ENTERPRISES,01-04-2025,PPR/AND/26/00316,08-05-2025,0.0,37,>15 days,May 2025
PO/AND/26/00007,MELCON PLASTICS,01-04-2025,PPR/AND/26/00261,30-04-2025,0.0,29,>15 days,April 2025
PO/AND/26/00008,TANISHA ENTERPRISES,01-04-2025,PPR/AND/26/00227,16-04-2025,0.0,15,≤15 days,April 2025
PO/AND/26/00009,S.PLASTICS,01-04-2025,PPR/AND/26/00732,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00010,Supreme Innovations,01-04-2025,PPR/AND/26/00263,26-04-2025,0.0,25,>15 days,April 2025
PO/AND/26/00011,MODERN ENGINEERING & SPRING COMPANY,01-04-2025,PPR/AND/26/00139,18-04-2025,0.0,17,>15 days,April 2025
PO/AND/26/00012,G R INDUSTRIES,01-04-2025,PPR/AND/26/00018,03-04-2025,0.0,2,≤15 days,April 2025
PO/AND/26/00013,PERFECT PACKERS,01-04-2025,PPR/AND/26/00106,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00014,Gyanesh Print And Pack,01-04-2025,PPR/AND/26/00019,07-04-2025,0.0,6,≤15 days,April 2025
PO/AND/26/00015,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,01-04-2025,PPR/AND/26/00171,24-04-2025,0.0,23,>15 days,April 2025
PO/AND/26/00016,SHREE BALAJI PRINTERS,01-04-2025,PPR/AND/26/00115,02-04-2025,0.0,1,≤15 days,April 2025
PO/AND/26/00017,A.K.PACKAGING,01-04-2025,PPR/AND/26/00714,14-06-2025,0.0,74,>15 days,June 2025
PO/AND/26/00018,PRINT LINE,01-04-2025,PPR/AND/26/00510,28-05-2025,0.0,57,>15 days,May 2025
PO/AND/26/00019,PRINTSOUK,01-04-2025,PPR/AND/26/00231,28-04-2025,0.0,27,>15 days,April 2025
PO/AND/26/00020,Ramaya Packaging,01-04-2025,PPR/AND/26/00113,03-04-2025,0.0,2,≤15 days,April 2025
PO/AND/26/00021,KANKAI ENTERPRISES,01-04-2025,PPR/AND/26/00188,23-04-2025,0.0,22,>15 days,April 2025
PO/AND/26/00022,WITCO POTTERIES,01-04-2025,PPR/AND/26/00172,24-04-2025,0.0,23,>15 days,April 2025
PO/AND/26/00023,VENUS COLOURANTS,01-04-2025,PPR/AND/26/00201,05-04-2025,0.0,4,≤15 days,April 2025
PO/AND/26/00024,MAHAVIR TRADERS,01-04-2025,PPR/AND/26/00281,04-04-2025,0.0,3,≤15 days,April 2025
PO/AND/26/00025,JAYESH INDUSTRIES,01-04-2025,PPR/AND/26/00269,30-04-2025,0.0,29,>15 days,April 2025
PO/AND/26/00026,REKHA TRADING CO,01-04-2025,PPR/AND/26/00284,26-04-2025,0.0,25,>15 days,April 2025
PO/AND/26/00027,SAI ENTERPRISES (VENDOR),01-04-2025,PPR/AND/26/00249,25-04-2025,0.0,24,>15 days,April 2025
PO/AND/26/00028,RAJESHREE INDUSTRIES,01-04-2025,PPR/AND/26/00233,28-04-2025,0.0,27,>15 days,April 2025
PO/AND/26/00029,Parmar Engineering Works,01-04-2025,PPR/AND/26/00162,17-04-2025,0.0,16,>15 days,April 2025
PO/AND/26/00030,DURVESH ENTERPRISES,01-04-2025,PPR/AND/26/00553,31-05-2025,0.0,60,>15 days,May 2025
PO/AND/26/00031,NECTAR BRASS INDUSTRIES,01-04-2025,PPR/AND/26/00081,08-04-2025,0.0,7,≤15 days,April 2025
PO/AND/26/00032,Venus Industries,01-04-2025,PPR/AND/26/00129,17-04-2025,0.0,16,>15 days,April 2025
PO/AND/26/00033,BNB ENTERPRISE,01-04-2025,PPR/AND/26/00091,11-04-2025,0.0,10,≤15 days,April 2025
PO/AND/26/00034,VIMALNATH BRASS INDUSTRIES,01-04-2025,PPR/AND/26/00082,08-04-2025,0.0,7,≤15 days,April 2025
PO/AND/26/00035,Yamuna Brass Industries,01-04-2025,PPR/AND/26/00226,26-04-2025,0.0,25,>15 days,April 2025
PO/AND/26/00036,Satish Brass Product,01-04-2025,PPR/AND/26/00186,23-04-2025,0.0,22,>15 days,April 2025
PO/AND/26/00037,Shree Momai Trading Company,01-04-2025,PPR/AND/26/00179,24-04-2025,0.0,23,>15 days,April 2025
PO/AND/26/00038,HARIA METALS,01-04-2025,PPR/AND/26/00224,26-04-2025,0.0,25,>15 days,April 2025
PO/AND/26/00039,Veda Excom Pvt Ltd,01-04-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00040,RIDDHI SIDDHI CORPORATION,01-04-2025,PPR/AND/26/00045,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00041,RIDDHI SIDDHI CORPORATION,10-04-2025,PPR/AND/26/00099,15-04-2025,0.0,5,≤15 days,April 2025
PO/AND/26/00042,RUPAL PLASTICS PVT LTD,01-04-2025,PPR/AND/26/00118,10-04-2025,0.0,9,≤15 days,April 2025
PO/AND/26/00043,SUNRISE POLYMER,01-04-2025,PPR/AND/26/00111,10-04-2025,0.0,9,≤15 days,April 2025
PO/AND/26/00044,ACN PLASTIC,01-04-2025,PPR/AND/26/00173,26-04-2025,0.0,25,>15 days,April 2025
PO/AND/26/00045,KASAT PLASTIC,01-04-2025,PPR/AND/26/00215,05-04-2025,0.0,4,≤15 days,April 2025
PO/AND/26/00046,TANISHA ENTERPRISES,01-04-2025,PPR/AND/26/00191,28-04-2025,0.0,27,>15 days,April 2025
PO/AND/26/00047,RIDDHI SIDDHI CORPORATION,01-04-2025,PPR/AND/26/00193,25-04-2025,0.0,24,>15 days,April 2025
PO/AND/26/00048,RIDDHI SIDDHI CORPORATION,01-04-2025,PPR/AND/26/00044,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00049,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,21-04-2025,PPR/AND/26/00204,26-04-2025,0.0,5,≤15 days,April 2025
PO/AND/26/00050,PRINTSOUK,21-04-2025,PPR/AND/26/00203,22-04-2025,0.0,1,≤15 days,April 2025
PO/AND/26/00051,RIDDHI SIDDHI CORPORATION,22-04-2025,PPR/AND/26/00194,24-04-2025,0.0,2,≤15 days,April 2025
PO/AND/26/00052,RIDDHI SIDDHI CORPORATION,22-04-2025,PPR/AND/26/00195,26-04-2025,0.0,4,≤15 days,April 2025
PO/AND/26/00053,RIDDHI SIDDHI CORPORATION,22-04-2025,PPR/AND/26/00098,15-04-2025,0.0,-7,No Receipt,April 2025
PO/AND/26/00054,SAI ENTERPRISES (VENDOR),23-04-2025,PPR/AND/26/00546,29-05-2025,0.0,36,>15 days,May 2025
PO/AND/26/00055,ARIHANT INDUSTRIES,23-04-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00056,SUNRISE POLYMER,01-04-2025,PPR/AND/26/00112,10-04-2025,0.0,9,≤15 days,April 2025
PO/AND/26/00057,MELCON PLASTICS,25-04-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00058,Supreme Innovations,25-04-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00059,TANISHA ENTERPRISES,25-04-2025,PPR/AND/26/00192,28-04-2025,0.0,3,≤15 days,April 2025
PO/AND/26/00060,PRINTSOUK,25-04-2025,PPR/AND/26/00658,16-04-2025,0.0,-9,No Receipt,April 2025
PO/AND/26/00061,PRINTSOUK,25-04-2025,PPR/AND/26/00267,05-04-2025,0.0,-20,No Receipt,April 2025
PO/AND/26/00062,Banke Bihari Timber Co.,25-04-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00063,SS COMMERCIAL,25-04-2025,PPR/AND/26/00292,14-04-2025,0.0,-11,No Receipt,April 2025
PO/AND/26/00064,NEELANJ BUSINESS SOLUTION LLP,25-04-2025,PPR/AND/26/00733,30-04-2025,0.0,5,≤15 days,April 2025
PO/AND/26/00065,Supreme Innovations,26-04-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00066,SUNRISE POLYMER,01-05-2025,PPR/AND/26/00330,08-05-2025,0.0,7,≤15 days,May 2025
PO/AND/26/00067,URVI PLASTIC INDUSTRIES,01-05-2025,PPR/AND/26/00295,06-05-2025,0.0,5,≤15 days,May 2025
PO/AND/26/00068,PERFECT PACKERS,28-04-2025,PPR/AND/26/00265,26-04-2025,0.0,-2,No Receipt,April 2025
PO/AND/26/00069,RIDDHI SIDDHI CORPORATION,01-05-2025,PPR/AND/26/00473,22-05-2025,0.0,21,>15 days,May 2025
PO/AND/26/00070,RIDDHI SIDDHI CORPORATION,01-05-2025,PPR/AND/26/00297,08-05-2025,0.0,7,≤15 days,May 2025
PO/AND/26/00071,RIDDHI SIDDHI CORPORATION,01-05-2025,PPR/AND/26/00521,26-05-2025,0.0,25,>15 days,May 2025
PO/AND/26/00072,ACN PLASTIC,01-05-2025,PPR/AND/26/00291,06-05-2025,0.0,5,≤15 days,May 2025
PO/AND/26/00073,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,29-04-2025,PPR/AND/26/00205,26-04-2025,0.0,-3,No Receipt,April 2025
PO/AND/26/00074,DHARMIN ENTERPRISE,29-04-2025,PPR/AND/26/00252,29-04-2025,0.0,0,≤15 days,April 2025
PO/AND/26/00075,Ramaya Packaging,01-05-2025,PPR/AND/26/00381,13-05-2025,0.0,12,≤15 days,May 2025
PO/AND/26/00076,MELCON PLASTICS,30-04-2025,PPR/AND/26/00287,30-04-2025,0.0,0,≤15 days,April 2025
PO/AND/26/00077,Supreme Innovations,30-04-2025,PPR/AND/26/00270,25-04-2025,0.0,-5,No Receipt,April 2025
PO/AND/26/00078,SHREE BALAJI PRINTERS,30-04-2025,PPR/AND/26/00275,19-04-2025,0.0,-11,No Receipt,April 2025
PO/AND/26/00079,SHIVOM PRINTERS,30-04-2025,PPR/AND/26/00290,16-04-2025,0.0,-14,No Receipt,April 2025
PO/AND/26/00080,Gyanesh Print And Pack,30-04-2025,PPR/AND/26/00477,24-04-2025,0.0,-6,No Receipt,April 2025
PO/AND/26/00081,PRINT LINE,30-04-2025,PPR/AND/26/00277,09-04-2025,0.0,-21,No Receipt,April 2025
PO/AND/26/00082,KANKAI ENTERPRISES,30-04-2025,PPR/AND/26/00278,03-04-2025,0.0,-27,No Receipt,April 2025
PO/AND/26/00083,Ramaya Packaging,30-04-2025,PPR/AND/26/00279,12-04-2025,0.0,-18,No Receipt,April 2025
PO/AND/26/00084,MAHAVIR TRADERS,30-04-2025,PPR/AND/26/00280,04-04-2025,0.0,-26,No Receipt,April 2025
PO/AND/26/00085,P.P.ASSEMBLING,01-05-2025,PPR/AND/26/00325,07-05-2025,0.0,6,≤15 days,May 2025
PO/AND/26/00086,ARIHANT INDUSTRIES,01-05-2025,PPR/AND/26/00437,21-05-2025,0.0,20,>15 days,May 2025
PO/AND/26/00087,DHARMIN ENTERPRISE,01-05-2025,PPR/AND/26/00356,09-05-2025,0.0,8,≤15 days,May 2025
PO/AND/26/00088,OM INDUSTRIES-NEW,01-05-2025,PPR/AND/26/00346,05-05-2025,0.0,4,≤15 days,May 2025
PO/AND/26/00089,GIRI ENTERPRISES,01-05-2025,PPR/AND/26/00497,27-05-2025,0.0,26,>15 days,May 2025
PO/AND/26/00090,MELCON PLASTICS,01-05-2025,PPR/AND/26/00524,28-05-2025,0.0,27,>15 days,May 2025
PO/AND/26/00091,TANISHA ENTERPRISES,01-05-2025,PPR/AND/26/00478,26-05-2025,0.0,25,>15 days,May 2025
PO/AND/26/00092,S.PLASTICS,01-05-2025,PPR/AND/26/00841,28-06-2025,0.0,58,>15 days,June 2025
PO/AND/26/00093,Supreme Innovations,01-05-2025,PPR/AND/26/00520,21-05-2025,0.0,20,>15 days,May 2025
PO/AND/26/00094,MODERN ENGINEERING & SPRING COMPANY,01-05-2025,PPR/AND/26/00380,13-05-2025,0.0,12,≤15 days,May 2025
PO/AND/26/00095,G R INDUSTRIES,01-05-2025,PPR/AND/26/00387,15-05-2025,0.0,14,≤15 days,May 2025
PO/AND/26/00096,PERFECT PACKERS,01-05-2025,PPR/AND/26/00541,24-05-2025,0.0,23,>15 days,May 2025
PO/AND/26/00097,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,01-05-2025,PPR/AND/26/00463,23-05-2025,0.0,22,>15 days,May 2025
PO/AND/26/00098,Gyanesh Print And Pack,01-05-2025,PPR/AND/26/00561,26-05-2025,0.0,25,>15 days,May 2025
PO/AND/26/00099,SHREE BALAJI PRINTERS,01-05-2025,PPR/AND/26/01011,25-06-2025,0.0,55,>15 days,June 2025
PO/AND/26/00100,A.K.PACKAGING,01-05-2025,PPR/AND/26/00563,23-05-2025,0.0,22,>15 days,May 2025
PO/AND/26/00101,PRINT LINE,01-05-2025,PPR/AND/26/00576,03-06-2025,0.0,33,>15 days,June 2025
PO/AND/26/00102,PRINTSOUK,01-05-2025,PPR/AND/26/00495,24-05-2025,0.0,23,>15 days,May 2025
PO/AND/26/00103,Ramaya Packaging,01-05-2025,PPR/AND/26/00352,02-05-2025,0.0,1,≤15 days,May 2025
PO/AND/26/00104,KANKAI ENTERPRISES,01-05-2025,PPR/AND/26/01482,11-09-2025,13000.0,133,>15 days,September 2025
PO/AND/26/00105,WITCO POTTERIES,01-05-2025,PPR/AND/26/00848,24-05-2025,0.0,23,>15 days,May 2025
PO/AND/26/00106,VENUS COLOURANTS,01-05-2025,PPR/AND/26/00357,10-05-2025,0.0,9,≤15 days,May 2025
PO/AND/26/00107,MAHAVIR TRADERS,01-05-2025,PPR/AND/26/00467,22-05-2025,0.0,21,>15 days,May 2025
PO/AND/26/00108,JAYESH INDUSTRIES,01-05-2025,PPR/AND/26/00432,20-05-2025,0.0,19,>15 days,May 2025
PO/AND/26/00109,SAI ENTERPRISES (VENDOR),01-05-2025,PPR/AND/26/00550,24-05-2025,16186.0,23,>15 days,May 2025
PO/AND/26/00110,DURVESH ENTERPRISES,01-05-2025,PPR/AND/26/00775,23-06-2025,24646.0,53,>15 days,June 2025
PO/AND/26/00111,REKHA TRADING CO,01-05-2025,PPR/AND/26/00857,24-06-2025,844.0,54,>15 days,June 2025
PO/AND/26/00112,RAJESHREE INDUSTRIES,01-05-2025,PPR/AND/26/00538,29-05-2025,1000.0,28,>15 days,May 2025
PO/AND/26/00113,Parmar Engineering Works,01-05-2025,PPR/AND/26/00342,14-05-2025,0.0,13,≤15 days,May 2025
PO/AND/26/00114,KALA ENTERPRISES,01-05-2025,PPR/AND/26/00460,23-05-2025,0.0,22,>15 days,May 2025
PO/AND/26/00115,Vardan Enterprises,01-05-2025,PPR/AND/26/00353,02-05-2025,0.0,1,≤15 days,May 2025
PO/AND/26/00116,HARIA METALS,01-05-2025,PPR/AND/26/00469,24-05-2025,0.0,23,>15 days,May 2025
PO/AND/26/00117,NECTAR BRASS INDUSTRIES,01-05-2025,PPR/AND/26/00327,06-05-2025,0.0,5,≤15 days,May 2025
PO/AND/26/00118,Venus Industries,01-05-2025,PPR/AND/26/00368,12-05-2025,0.0,11,≤15 days,May 2025
PO/AND/26/00119,BNB ENTERPRISE,01-05-2025,PPR/AND/26/00369,12-05-2025,0.0,11,≤15 days,May 2025
PO/AND/26/00120,HITECH SCREWS & RIVETS,01-05-2025,PPR/AND/26/00716,26-05-2025,0.0,25,>15 days,May 2025
PO/AND/26/00121,VIMALNATH BRASS INDUSTRIES,01-05-2025,PPR/AND/26/00392,16-05-2025,0.0,15,≤15 days,May 2025
PO/AND/26/00122,Yamuna Brass Industries,01-05-2025,PPR/AND/26/00471,24-05-2025,725.0,23,>15 days,May 2025
PO/AND/26/00123,Satish Brass Product,01-05-2025,PPR/AND/26/00433,20-05-2025,0.0,19,>15 days,May 2025
PO/AND/26/00124,Shree Momai Trading Company,01-05-2025,PPR/AND/26/00470,24-05-2025,0.0,23,>15 days,May 2025
PO/AND/26/00125,Angel Brass Industries,01-05-2025,PPR/AND/26/01337,02-08-2025,0.0,93,>15 days,August 2025
PO/AND/26/00126,Yogi Tilak industries,01-05-2025,PPR/AND/26/00537,29-05-2025,0.0,28,>15 days,May 2025
PO/AND/26/00127,KMUNOTAG PRIVATE LIMITED,30-04-2025,PPR/AND/26/00311,07-04-2025,0.0,-23,No Receipt,April 2025
PO/AND/26/00128,SHIV ENTERPRISES,30-04-2025,PPR/AND/26/00299,18-04-2025,0.0,-12,No Receipt,April 2025
PO/AND/26/00129,Matrix Technologies,30-04-2025,PPR/AND/26/00300,30-04-2025,0.0,0,≤15 days,April 2025
PO/AND/26/00130,KMUNOTAG PRIVATE LIMITED,13-05-2025,PPR/AND/26/00560,29-05-2025,0.0,16,>15 days,May 2025
PO/AND/26/00131,SIGN ADS,15-05-2025,PPR/AND/26/00329,20-04-2025,115.09,-25,No Receipt,April 2025
PO/AND/26/00132,SUNRISE POLYMER,16-05-2025,PPR/AND/26/00331,08-05-2025,0.0,-8,No Receipt,May 2025
PO/AND/26/00133,KGK JET INDIA PRIVATE LIMITED,20-05-2025,PPR/AND/26/00500,26-05-2025,0.0,6,≤15 days,May 2025
PO/AND/26/00134,HARIA METALS,01-06-2025,PPR/AND/26/00840,28-06-2025,0.0,27,>15 days,June 2025
PO/AND/26/00135,NECTAR BRASS INDUSTRIES,01-06-2025,PPR/AND/26/00606,06-06-2025,0.0,5,≤15 days,June 2025
PO/AND/26/00136,Venus Industries,01-06-2025,PPR/AND/26/00605,06-06-2025,0.0,5,≤15 days,June 2025
PO/AND/26/00137,BNB ENTERPRISE,01-06-2025,PPR/AND/26/00607,06-06-2025,0.0,5,≤15 days,June 2025
PO/AND/26/00138,HITECH SCREWS & RIVETS,01-06-2025,PPR/AND/26/00737,23-06-2025,0.0,22,>15 days,June 2025
PO/AND/26/00139,VIMALNATH BRASS INDUSTRIES,01-06-2025,PPR/AND/26/00609,06-06-2025,0.0,5,≤15 days,June 2025
PO/AND/26/00140,ARIHANT INDUSTRIES,01-06-2025,PPR/AND/26/00718,19-06-2025,2720.0,18,>15 days,June 2025
PO/AND/26/00141,OM INDUSTRIES-NEW,01-06-2025,PPR/AND/26/00580,02-06-2025,0.0,1,≤15 days,June 2025
PO/AND/26/00142,GIRI ENTERPRISES,01-06-2025,PPR/AND/26/00767,27-06-2025,19900.0,26,>15 days,June 2025
PO/AND/26/00143,MELCON PLASTICS,01-06-2025,PPR/AND/26/00766,14-06-2025,0.0,13,≤15 days,June 2025
PO/AND/26/00144,TANISHA ENTERPRISES,01-06-2025,PPR/AND/26/00749,24-06-2025,0.0,23,>15 days,June 2025
PO/AND/26/00145,S.PLASTICS,01-06-2025,PPR/AND/26/00842,28-06-2025,2076.0,27,>15 days,June 2025
PO/AND/26/00146,Supreme Innovations,01-06-2025,PPR/AND/26/00759,14-06-2025,0.0,13,≤15 days,June 2025
PO/AND/26/00147,G R INDUSTRIES,01-06-2025,PPR/AND/26/00581,04-06-2025,0.0,3,≤15 days,June 2025
PO/AND/26/00148,MODERN ENGINEERING & SPRING COMPANY,01-06-2025,PPR/AND/26/00629,11-06-2025,0.0,10,≤15 days,June 2025
PO/AND/26/00149,PERFECT PACKERS,01-06-2025,PPR/AND/26/00788,24-06-2025,0.0,23,>15 days,June 2025
PO/AND/26/00150,Gyanesh Print And Pack,01-06-2025,PPR/AND/26/01009,27-06-2025,130.0,26,>15 days,June 2025
PO/AND/26/00151,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,01-06-2025,PPR/AND/26/00688,16-06-2025,502.0,15,≤15 days,June 2025
PO/AND/26/00152,A.K.PACKAGING,01-06-2025,PPR/AND/26/00930,11-07-2025,1003.0,40,>15 days,July 2025
PO/AND/26/00153,PRINT LINE,01-06-2025,PPR/AND/26/00796,26-06-2025,1000.0,25,>15 days,June 2025
PO/AND/26/00154,PRINTSOUK,01-06-2025,PPR/AND/26/00810,30-06-2025,0.0,29,>15 days,June 2025
PO/AND/26/00155,Ramaya Packaging,01-06-2025,PPR/AND/26/00582,04-06-2025,8.0,3,≤15 days,June 2025
PO/AND/26/00156,KANKAI ENTERPRISES,01-06-2025,PPR/AND/26/00845,24-06-2025,10800.0,23,>15 days,June 2025
PO/AND/26/00157,WITCO POTTERIES,01-06-2025,PPR/AND/26/00798,27-06-2025,14.0,26,>15 days,June 2025
PO/AND/26/00158,DHARMIN ENTERPRISE,01-06-2025,PPR/AND/26/00601,06-06-2025,0.0,5,≤15 days,June 2025
PO/AND/26/00159,JAYESH INDUSTRIES,01-06-2025,NAN,No Receipt,1000.0,,No Receipt,No Receipt
PO/AND/26/00160,DURVESH ENTERPRISES,01-06-2025,PPR/AND/26/00847,30-06-2025,9.0,29,>15 days,June 2025
PO/AND/26/00161,SAI ENTERPRISES (VENDOR),01-06-2025,PPR/AND/26/00849,18-06-2025,15048.0,17,>15 days,June 2025
PO/AND/26/00162,Satish Brass Product,01-06-2025,PPR/AND/26/00588,04-06-2025,0.0,3,≤15 days,June 2025
PO/AND/26/00163,Shree Momai Trading Company,01-06-2025,PPR/AND/26/00637,14-06-2025,0.0,13,≤15 days,June 2025
PO/AND/26/00164,Angel Brass Industries,01-06-2025,PPR/AND/26/00610,06-06-2025,0.0,5,≤15 days,June 2025
PO/AND/26/00165,RAJESHREE INDUSTRIES,01-06-2025,PPR/AND/26/00799,27-06-2025,0.0,26,>15 days,June 2025
PO/AND/26/00166,Parmar Engineering Works,01-06-2025,NAN,No Receipt,40000.0,,No Receipt,No Receipt
PO/AND/26/00167,KALA ENTERPRISES,01-06-2025,NAN,No Receipt,10000.0,,No Receipt,No Receipt
PO/AND/26/00168,VANSHIKA ADVERTISING,31-05-2025,PPR/AND/26/01903,10-10-2025,1004.29,132,>15 days,October 2025
PO/AND/26/00169,URVI PLASTIC INDUSTRIES,01-06-2025,PPR/AND/26/00583,05-06-2025,0.0,4,≤15 days,June 2025
PO/AND/26/00170,VIVANI ELECTRONICS,01-06-2025,PPR/AND/26/01033,25-07-2025,0.0,54,>15 days,July 2025
PO/AND/26/00171,VISHAL PRECISION MOULDS,01-06-2025,PPR/AND/26/00589,03-06-2025,0.0,2,≤15 days,June 2025
PO/AND/26/00172,SUNRISE POLYMER,01-06-2025,PPR/AND/26/00771,02-06-2025,0.0,1,≤15 days,June 2025
PO/AND/26/00173,ACN PLASTIC,01-06-2025,PPR/AND/26/00579,09-06-2025,0.0,8,≤15 days,June 2025
PO/AND/26/00174,RIDDHI SIDDHI CORPORATION,01-06-2025,PPR/AND/26/00772,20-06-2025,500.0,19,>15 days,June 2025
PO/AND/26/00175,RIDDHI SIDDHI CORPORATION,01-06-2025,PPR/AND/26/00730,20-06-2025,0.0,19,>15 days,June 2025
PO/AND/26/00176,RIDDHI SIDDHI CORPORATION,01-06-2025,PPR/AND/26/00586,05-06-2025,0.0,4,≤15 days,June 2025
PO/AND/26/00177,RIDDHI SIDDHI CORPORATION,01-06-2025,PPR/AND/26/00587,05-06-2025,0.0,4,≤15 days,June 2025
PO/AND/26/00178,KASAT PLASTIC,01-06-2025,PPR/AND/26/00957,16-06-2025,0.0,15,≤15 days,June 2025
PO/AND/26/00179,RIDDHI SIDDHI CORPORATION,29-05-2025,PPR/AND/26/00522,26-05-2025,0.0,-3,No Receipt,May 2025
PO/AND/26/00180,Matrix Technologies,29-05-2025,PPR/AND/26/00564,06-05-2025,0.0,-23,No Receipt,May 2025
PO/AND/26/00181,GIRI ENTERPRISES,01-06-2025,PPR/AND/26/00800,27-06-2025,0.0,26,>15 days,June 2025
PO/AND/26/00182,PRINT LINE,29-05-2025,PPR/AND/26/01092,30-07-2025,50914.0,62,>15 days,July 2025
PO/AND/26/00183,VENUS COLOURANTS,29-05-2025,PPR/AND/26/00633,10-06-2025,0.0,12,≤15 days,June 2025
PO/AND/26/00184,MAHAVIR TRADERS,29-05-2025,PPR/AND/26/00655,11-06-2025,0.0,13,≤15 days,June 2025
PO/AND/26/00185,SAI ENTERPRISES (VENDOR),29-05-2025,PPR/AND/26/00846,30-06-2025,4272.0,32,>15 days,June 2025
PO/AND/26/00186,DURVESH ENTERPRISES,01-06-2025,PPR/AND/26/00843,30-06-2025,6354.0,29,>15 days,June 2025
PO/AND/26/00187,REKHA TRADING CO,01-06-2025,PPR/AND/26/00855,23-06-2025,0.0,22,>15 days,June 2025
PO/AND/26/00188,KANKAI ENTERPRISES,29-05-2025,PPR/AND/26/00708,13-06-2025,3000.0,15,≤15 days,June 2025
PO/AND/26/00189,Manoj Enterprises,29-05-2025,PPR/AND/26/00706,18-06-2025,0.0,20,>15 days,June 2025
PO/AND/26/00190,Supreme Innovations,29-05-2025,NAN,No Receipt,150000.0,,No Receipt,No Receipt
PO/AND/26/00191,PAL ENTERPRISE,02-06-2025,PPR/AND/26/00793,21-06-2025,2.3,19,>15 days,June 2025
PO/AND/26/00192,SHIVOM PRINTERS,31-05-2025,PPR/AND/26/00566,14-05-2025,0.0,-17,No Receipt,May 2025
PO/AND/26/00193,ENSEMBLE INTERNATIONAL,03-06-2025,PPR/AND/26/00751,23-06-2025,41.0,20,>15 days,June 2025
PO/AND/26/00194,KMUNOTAG PRIVATE LIMITED,10-06-2025,PPR/AND/26/01129,03-07-2025,277340.0,23,>15 days,July 2025
PO/AND/26/00195,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,12-06-2025,PPR/AND/26/00719,19-06-2025,0.0,7,≤15 days,June 2025
PO/AND/26/00196,Gyanesh Print And Pack,12-06-2025,PPR/AND/26/00639,11-06-2025,2.0,-1,No Receipt,June 2025
PO/AND/26/00197,PRINT LINE,12-06-2025,PPR/AND/26/00650,12-06-2025,1420.0,0,≤15 days,June 2025
PO/AND/26/00198,JAYESH INDUSTRIES,12-06-2025,PPR/AND/26/00797,25-06-2025,0.0,13,≤15 days,June 2025
PO/AND/26/00199,NEELANJ BUSINESS SOLUTION LLP,28-05-2025,PPR/AND/26/00621,30-05-2025,35.14,2,≤15 days,May 2025
PO/AND/26/00200,SS COMMERCIAL,28-05-2025,PPR/AND/26/00754,24-06-2025,1.5,27,>15 days,June 2025
PO/AND/26/00201,Printzone,09-06-2025,PPR/AND/26/00623,10-06-2025,54.394999999999996,1,≤15 days,June 2025
PO/AND/26/00202,VENUS COLOURANTS,16-06-2025,PPR/AND/26/00811,18-06-2025,0.0,2,≤15 days,June 2025
PO/AND/26/00203,KMUNOTAG PRIVATE LIMITED,17-06-2025,PPR/AND/26/01128,02-07-2025,0.0,15,≤15 days,July 2025
PO/AND/26/00204,Ramaya Packaging,18-06-2025,PPR/AND/26/00812,23-06-2025,0.0,5,≤15 days,June 2025
PO/AND/26/00205,Gyanesh Print And Pack,18-06-2025,PPR/AND/26/00813,20-06-2025,0.0,2,≤15 days,June 2025
PO/AND/26/00206,GANPATI STEEL,13-06-2025,PPR/AND/26/00717,13-06-2025,0.84,0,≤15 days,June 2025
