PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
SUBCONPO/26/01399,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02176,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01400,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/03020,31-10-2025,28829.0,17,>15 days,October 2025
SUBCONPO/26/01401,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02177,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01402,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02178,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01403,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02179,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01404,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02190,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01405,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02180,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01406,OM SAI ENTERPRISE - SL - JW,14-10-2025,PPR/SIL/26/2302,07-11-2025,0.0,24,>15 days,November 2025
SUBCONPO/26/01407,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02188,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01408,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02181,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01409,Sushma Tiwari,14-10-2025,PPR/SIL/26/2309,31-10-2025,0.0,17,>15 days,October 2025
SUBCONPO/26/01410,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02189,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01411,Gem Enterprises,14-10-2025,PPR/HAR/26/02184,09-10-2025,0.0,-5,No Receipt,October 2025
SUBCONPO/26/01412,Gem Enterprises,14-10-2025,PPR/HAR/26/02185,09-10-2025,0.0,-5,No Receipt,October 2025
SUBCONPO/26/01413,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02186,11-10-2025,0.0,-3,No Receipt,October 2025
SUBCONPO/26/01414,P R ENTERPRISES,14-10-2025,PPR/SIL/26/2028,18-10-2025,1752.0,4,≤15 days,October 2025
SUBCONPO/26/01415,AMIT KUMAR PATEL - JW,14-10-2025,PPR/HAR/26/02597,16-10-2025,0.0,2,≤15 days,October 2025
SUBCONPO/26/01416,Anil Patel - JW,14-10-2025,PPR/HAR/26/02587,16-10-2025,0.0,2,≤15 days,October 2025
SUBCONPO/26/01417,ARUN MISHRA - JW,14-10-2025,PPR/HAR/26/02616,17-10-2025,0.0,3,≤15 days,October 2025
SUBCONPO/26/01418,DEEPAK KUMAR SHARMA,14-10-2025,PPR/HAR/26/02557,17-10-2025,0.0,3,≤15 days,October 2025
SUBCONPO/26/01420,Pankaj Kumar,14-10-2025,NAN,No Receipt,3600.0,,No Receipt,No Receipt
SUBCONPO/26/01421,SANDEEP KUMAR,14-10-2025,NAN,No Receipt,3600.0,,No Receipt,No Receipt
SUBCONPO/26/01422,SATISH KUMAR MAURYA - JW,14-10-2025,NAN,No Receipt,3600.0,,No Receipt,No Receipt
SUBCONPO/26/01423,VIJAY KUMAR TRIPATHI,14-10-2025,NAN,No Receipt,3600.0,,No Receipt,No Receipt
SUBCONPO/26/01424,PLATINUM INDUSTRIES,14-10-2025,PPR/HAR/26/02210,12-10-2025,0.0,-2,No Receipt,October 2025
SUBCONPO/26/01425,Shree Ganesh Industries,14-10-2025,PPR/HAR/26/02191,12-10-2025,0.0,-2,No Receipt,October 2025
SUBCONPO/26/01426,DHARMENDRA YADAV,14-10-2025,PPR/HAR/26/02926,30-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01427,Shree Ganesh Industries,14-10-2025,PPR/HAR/26/02192,12-10-2025,0.0,-2,No Receipt,October 2025
SUBCONPO/26/01428,Mohit Enterprises,14-10-2025,PPR/HAR/26/03064,31-10-2025,0.0,17,>15 days,October 2025
SUBCONPO/26/01429,Shree Ganesh Industries,14-10-2025,PPR/HAR/26/02193,12-10-2025,0.0,-2,No Receipt,October 2025
SUBCONPO/26/01430,Shree Ganesh Industries,14-10-2025,PPR/HAR/26/02194,12-10-2025,0.0,-2,No Receipt,October 2025
SUBCONPO/26/01431,Mohit Enterprises,14-10-2025,PPR/HAR/26/02951,31-10-2025,2607.0,17,>15 days,October 2025
SUBCONPO/26/01432,RAMANUJ TIWARI - JW,14-10-2025,PPR/HAR/26/02197,14-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01433,SANGEETA PATEL - JW,14-10-2025,PPR/HAR/26/02198,14-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01434,AVI ENTERPRISES,14-10-2025,PPR/HAR/26/03153,05-11-2025,0.0,22,>15 days,November 2025
SUBCONPO/26/01435,AVI ENTERPRISES,14-10-2025,PPR/HAR/26/03174,06-11-2025,0.0,23,>15 days,November 2025
SUBCONPO/26/01436,DEEPAK KUMAR SHARMA,14-10-2025,PPR/HAR/26/02199,29-09-2025,0.0,-15,No Receipt,September 2025
SUBCONPO/26/01437,AWANT KUMAR - JW,14-10-2025,NAN,No Receipt,14400.0,,No Receipt,No Receipt
SUBCONPO/26/01438,AVI ENTERPRISES,14-10-2025,PPR/HAR/26/02978,31-10-2025,0.0,17,>15 days,October 2025
SUBCONPO/26/01439,DEEPAK KUMAR SHARMA,14-10-2025,PPR/HAR/26/02548,17-10-2025,0.0,3,≤15 days,October 2025
SUBCONPO/26/01440,Manoj Patel - JW,14-10-2025,NAN,No Receipt,14400.0,,No Receipt,No Receipt
SUBCONPO/26/01441,Shree Ganesh Industries,14-10-2025,PPR/HAR/26/02201,10-10-2025,0.0,-4,No Receipt,October 2025
SUBCONPO/26/01442,Shree Ganesh Industries,14-10-2025,PPR/HAR/26/02204,12-10-2025,0.0,-2,No Receipt,October 2025
SUBCONPO/26/01443,ANIL KUMAR PASWAN,14-10-2025,PPR/SIL/26/2297,06-11-2025,0.0,23,>15 days,November 2025
SUBCONPO/26/01444,JITENDRA YADAY - JW,14-10-2025,NAN,No Receipt,3600.0,,No Receipt,No Receipt
SUBCONPO/26/01445,Pankaj Kumar,14-10-2025,PPR/HAR/26/02615,17-10-2025,0.0,3,≤15 days,October 2025
SUBCONPO/26/01446,SANDEEP KUMAR,14-10-2025,PPR/HAR/26/03024,31-10-2025,0.0,17,>15 days,October 2025
SUBCONPO/26/01447,SATISH KUMAR MAURYA - JW,14-10-2025,PPR/HAR/26/03046,31-10-2025,0.0,17,>15 days,October 2025
SUBCONPO/26/01448,VIJAY KUMAR TRIPATHI,14-10-2025,PPR/HAR/26/02599,16-10-2025,0.0,2,≤15 days,October 2025
SUBCONPO/26/01449,SHANTIDEVI-JW,14-10-2025,PPR/SIL/26/2254,03-11-2025,0.0,20,>15 days,November 2025
SUBCONPO/26/01450,RAJESHWAR TIVARI,14-10-2025,PPR/SIL/26/2085,28-10-2025,0.0,14,≤15 days,October 2025
SUBCONPO/26/01451,ANIL KUMAR PASWAN,14-10-2025,PPR/SIL/26/2261,04-11-2025,7167.0,21,>15 days,November 2025
SUBCONPO/26/01452,MANJESH,14-10-2025,PPR/DEL/26/01045,15-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01453,Vivek Kumar,14-10-2025,PPR/DEL/26/01046,15-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01454,ANIL KUMAR PASWAN,14-10-2025,PPR/SIL/26/2181,31-10-2025,0.0,17,>15 days,October 2025
SUBCONPO/26/01455,MANJESH,14-10-2025,PPR/DEL/26/01047,15-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01456,Vivek Kumar,14-10-2025,PPR/DEL/26/01048,15-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01457,Vivek Kumar,14-10-2025,PPR/DEL/26/01049,15-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01458,MANJESH,14-10-2025,PPR/DEL/26/01050,15-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01459,PLATINUM INDUSTRIES,15-10-2025,NAN,No Receipt,910.0,,No Receipt,No Receipt
SUBCONPO/26/01460,DEEPAK KUMAR SHARMA,15-10-2025,PPR/HAR/26/02541,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01461,PLATINUM INDUSTRIES,15-10-2025,PPR/HAR/26/02205,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01462,ARUN MISHRA - JW,15-10-2025,PPR/HAR/26/02634,26-10-2025,0.0,11,≤15 days,October 2025
SUBCONPO/26/01463,SHIVAKESH PATEL,15-10-2025,PPR/HAR/26/02575,16-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01464,PLATINUM INDUSTRIES,15-10-2025,PPR/HAR/26/02206,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01465,PLATINUM INDUSTRIES,15-10-2025,PPR/HAR/26/02207,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01466,SHIVAKESH PATEL,15-10-2025,PPR/HAR/26/02574,16-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01467,PLATINUM INDUSTRIES,15-10-2025,NAN,No Receipt,990.0,,No Receipt,No Receipt
SUBCONPO/26/01468,PLATINUM INDUSTRIES,15-10-2025,PPR/HAR/26/02209,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01469,R S ENTERPRISES,15-10-2025,PPR/HAR/26/03094,31-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01470,SHIVAKESH PATEL,15-10-2025,PPR/HAR/26/02571,16-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01471,OM SAI ENTERPRISE - JW,04-10-2025,PPR/AND/26/01963,15-10-2025,0.0,11,≤15 days,October 2025
SUBCONPO/26/01472,SHIVAKESH PATEL,15-10-2025,PPR/HAR/26/02570,16-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01473,SHIVAKESH PATEL,15-10-2025,PPR/HAR/26/02573,16-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01474,PLATINUM INDUSTRIES,15-10-2025,NAN,No Receipt,100000.0,,No Receipt,No Receipt
SUBCONPO/26/01475,Shree Ganesh Industries,15-10-2025,PPR/HAR/26/02213,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01476,ANSHIKA ENTERPRISES,15-10-2025,NAN,No Receipt,10000.0,,No Receipt,No Receipt
SUBCONPO/26/01477,Shree Ganesh Industries,15-10-2025,PPR/HAR/26/02214,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01478,SHIVPAL ENTERPRISE,15-10-2025,PPR/AND/26/02095,27-10-2025,0.0,12,≤15 days,October 2025
SUBCONPO/26/01479,Shree Ganesh Industries,15-10-2025,PPR/HAR/26/02215,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01480,SACHIN VARMA,13-10-2025,PPR/AND/26/02295,03-11-2025,0.0,21,>15 days,November 2025
SUBCONPO/26/01481,Shree Ganesh Industries,15-10-2025,PPR/HAR/26/02216,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01482,MANJESH,15-10-2025,PPR/DEL/26/01051,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01483,Vivek Kumar,15-10-2025,PPR/DEL/26/01052,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01484,SHIVPAL ENTERPRISE,08-10-2025,PPR/AND/26/01970,13-10-2025,1100.0,5,≤15 days,October 2025
SUBCONPO/26/01485,Shree Ganesh Industries,15-10-2025,PPR/HAR/26/02217,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01486,Shree Ganesh Industries,15-10-2025,PPR/HAR/26/02219,14-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01487,LAXMI VINAYAK GAIKWAD,10-11-2025,PPR/AND/26/02294,10-11-2025,7609.0,0,≤15 days,November 2025
SUBCONPO/26/01488,MANJESH,15-10-2025,PPR/DEL/26/01053,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01489,PLATINUM INDUSTRIES,15-10-2025,PPR/HAR/26/02220,14-10-2025,0.0,-1,No Receipt,October 2025
